"","time","mid","LTT_low95","LTT_high95","LTT_med","pulled_low95","pulled_high95","pulled_med","E(t)_Lam_low95","E(t)_Lam_high95","E(t)_Lam_med","extPC_Lam_low95","extPC_Lam_high95","extPC_Lam_med","ext3t_Lam_low95","ext3t_Lam_high95","ext3t_Lam_med","extC3t_Lam_low95","extC3t_Lam_high95","extC3t_Lam_med","extGF_Lam_low95","extGF_Lam_high95","extGF_Lam_med","E2f3_Lam_low95","E2f3_Lam_high95","E2f3_Lam_med","ext2f3_Lam_low95","ext2f3_Lam_high95","ext2f3_Lam_med","all6Mu_Lam_low95","all6Mu_Lam_high95","all6Mu_Lam_med"
"1",1,3.5,4695.95,4881.075,4790.5,0.200659620568002,0.237274855536629,0.216157555802702,0.204611260696066,0.242145761269477,0.220523862173765,0.2184764250839,0.571050513007687,0.370989033721248,0.206359144583063,0.574273529514476,0.376865377935236,0.220700373636133,1.09579212944829,0.393085801187047,0.216168381358496,0.623093764478869,0.412823016274978,0.243737824111773,0.522562911434846,0.346548384695183,0.229701892211856,0.636054893920514,0.425830214374376,0.218425758451447,0.632495543311657,0.382075453379346
"2",6,8.5,1667.63044801504,2007.07928465552,1835.55780680343,0.155415230625409,0.17973487754494,0.167244567360525,0.162179114575755,0.188824412890272,0.174978405003864,0.241965998866529,0.334146770788638,0.311637786099267,0.235732796496708,0.340513767742597,0.313809540594574,0.228842063635193,0.435481957076553,0.314170948869716,0.224303854938338,0.339151652738549,0.31532553820203,0.265482233851639,0.337258413364702,0.284969382492174,0.239670452530157,0.342000786197103,0.314816850148846,0.232294933578329,0.349287806442854,0.309282825765537
"3",11,13.5,747.122147132885,972.652276512142,853.112883393852,0.128492266538908,0.14973920113532,0.138752037008184,0.144669077833972,0.17164798704783,0.158207379397333,0.555842868013333,0.689575924704482,0.582261813554657,0.562467704640617,0.727788113097251,0.59659630246668,0.563024706552016,0.693438891242415,0.587980960352221,0.552745875863295,0.633477578280218,0.58297315947352,0.433047664113497,0.479085441955072,0.45696327684023,0.5528708623315,0.615816326847564,0.580475521317179,0.445489740299688,0.674992155759616,0.581449009203972
"4",16,18.5,389.562466005326,524.127768981009,451.381072935534,0.101466013319037,0.123622905599908,0.114906293260494,0.128795503086194,0.159186154453448,0.147621514056918,0.281794775072999,0.487381075065392,0.452538009005204,0.240047285734207,0.494685494991532,0.458770980224435,0.22527892761113,0.4859420973104,0.453901598538637,0.279156668648263,0.489477952458324,0.456566233737539,0.364859846098083,0.424465524391022,0.399065926590135,0.301485550705715,0.491360906427903,0.4584285288096,0.256115486465808,0.489497364455152,0.449721762150544
"5",21,23.5,233.880749278792,321.917369308253,276.359147105412,0.0703773125167087,0.0942674064165627,0.0824408056671631,0.106948111441344,0.152624791536191,0.125927043199974,0.57076912347398,0.868207043644311,0.630644179075485,0.600565917674508,0.897129056141493,0.658871932702772,0.59211044271159,0.897783384569399,0.642666170440014,0.589780236130589,0.879922283720823,0.643368805381396,0.39430612840911,0.484964846354998,0.431646080953013,0.588535865044252,0.860736412614199,0.636760579676117,0.405455123011475,0.884247356301367,0.631947435262061
"6",26,28.5,157.782550709065,215.258269966306,189.36801363903,0.0578969620269742,0.088499950942633,0.0742368094619735,0.0890294456107771,0.134900587010721,0.111390500399828,0.748718201896975,1.04274201476425,0.959577008235984,0.729061453387428,1.08120229255862,0.991520723942921,0.741166243756993,1.07885291844206,0.992068352532387,0.783753300997056,1.07025649144835,0.979236456937799,0.604967412578468,0.731625512223348,0.665215953283778,0.817143931834224,1.06831861758465,0.989476034109881,0.633649775837481,1.07049020933363,0.970077864658555
"7",31,33.5,114.758498847635,155.714392518796,136.709084320467,0.0391315699299527,0.0687766216780706,0.0557406683943503,0.0561771134654009,0.102677251512966,0.0811983350355381,0.726338833702194,1.00322791898494,0.850056904577353,0.742824235107193,1.05611460185854,0.881317111335377,0.746299492787164,1.23755073825327,0.873060235604531,0.729317217715537,1.04765467155558,0.865486236353186,0.468627555073076,0.682942883263388,0.576039910851102,0.732343913144719,0.990294151583321,0.861101022214727,0.521048424213003,1.03230816577622,0.851876735953945
"8",36,38.5,86.7497380045196,121.870426909086,104.289346849096,0.0370183727002281,0.0729765224743287,0.0537456950079362,0.0718029580218977,0.137549755259626,0.101046870868615,0.658218184758283,0.955524502865339,0.807899909078623,0.694121798859754,0.979567291621394,0.833636022733867,0.698355611529939,0.992686724144285,0.843424118784225,0.707069753746095,0.986598295036147,0.824133017471877,0.474951619284429,0.730776876088818,0.604435400046518,0.682594570703143,0.983088618856478,0.822434059278675,0.542151190113505,0.979777054818466,0.80518548572525
"9",41,43.5,68.1880625518619,94.8255563432428,81.6161006327118,0.0259222350515505,0.0632234308577301,0.0425896909937162,0.0494694718421496,0.122108224289605,0.0827420771495283,0.143274300020149,0.362105282974499,0.227959460514513,0.143404998219596,0.355625659714379,0.228971231907872,0.145673133844752,0.36641605610292,0.233222584154952,0.142209522505245,0.357507795721243,0.240653005713887,0.160334881114795,0.35929009103237,0.264468231797014,0.139443499760462,0.361399254895483,0.2401779609315,0.14136280774049,0.362561889576256,0.238962877617202
"10",46,48.5,53.141287783433,76.3477982292769,64.4373185349169,0.0291714690178368,0.076825782125893,0.0462340051178131,0.0457264252048522,0.1249376464969,0.0731172190809591,0.866011074948084,1.34151306854142,1.04333992416989,0.879125047096309,1.34841380721714,1.07512061516359,0.84706394627168,1.32048491948959,1.04568732159467,0.86879123429822,1.33727101207865,1.04545519732371,0.423683063559494,0.729618839241422,0.558686590212103,0.856997015044771,1.35208210779676,1.04093990836656,0.482610703211421,1.33367818634206,1.02593596951769
