generation,rank_1,rank_2,swapAccepted
354000,2,4,1
355000,1,4,0
356000,1,4,0
357000,2,4,1
358000,1,2,1
359000,3,4,1
360000,2,3,0
361000,1,3,1
362000,2,4,0
363000,3,4,1
364000,3,4,1
365000,1,2,1
366000,1,4,0
367000,3,4,1
368000,1,3,0
369000,3,4,1
370000,1,2,1
371000,1,2,1
372000,3,4,1
373000,3,4,1
374000,1,3,1
375000,2,4,0
376000,2,3,1
377000,2,4,0
378000,2,4,0
379000,1,2,1
380000,1,4,0
381000,2,4,1
382000,2,4,1
383000,1,4,0
384000,1,4,1
385000,1,3,1
386000,1,4,1
387000,3,4,1
388000,1,4,0
389000,1,3,1
390000,2,4,1
391000,1,4,1
392000,1,3,1
393000,2,4,1
394000,2,3,1
395000,2,3,1
396000,1,2,1
397000,1,2,1
398000,2,3,1
399000,2,4,1
400000,1,3,0
401000,3,4,1
402000,2,3,1
403000,1,4,0
404000,3,4,1
405000,3,4,0
406000,3,4,1
407000,2,4,1
408000,1,2,0
409000,1,2,1
410000,1,2,1
411000,2,4,1
412000,2,3,1
413000,2,3,1
414000,2,3,1
415000,1,4,1
416000,1,2,1
417000,2,3,1
418000,1,4,1
419000,1,3,0
420000,3,4,1
421000,1,3,0
422000,2,4,1
423000,1,4,0
424000,2,4,1
425000,2,4,1
426000,3,4,1
427000,2,4,0
428000,2,3,1
429000,1,4,0
430000,1,2,0
431000,1,3,0
432000,1,2,0
433000,2,3,0
434000,2,3,1
435000,1,2,0
436000,3,4,1
437000,2,4,1
438000,1,4,0
439000,1,2,1
440000,2,4,0
441000,1,2,1
442000,1,3,0
443000,2,4,1
444000,2,4,1
445000,1,2,0
446000,1,2,0
447000,3,4,1
448000,3,4,0
449000,2,3,0
450000,1,4,0
451000,2,4,0
452000,2,3,0
453000,3,4,0
454000,1,3,0
455000,1,4,0
456000,2,3,1
457000,2,4,1
458000,1,3,1
459000,1,4,1
460000,1,4,1
461000,2,3,1
462000,2,3,0
463000,2,3,0
464000,1,4,0
465000,1,3,1
466000,2,4,0
467000,2,3,1
468000,1,3,1
469000,2,4,1
470000,2,3,1
471000,1,4,1
472000,2,3,1
473000,1,4,1
474000,1,2,1
475000,2,4,0
476000,1,2,1
477000,1,3,0
478000,2,3,1
479000,1,3,1
480000,1,3,1
481000,1,4,0
482000,2,4,1
483000,2,3,1
484000,2,4,0
485000,3,4,1
486000,2,4,1
487000,2,3,0
488000,1,3,0
489000,1,4,1
490000,2,4,1
491000,3,4,1
492000,2,4,0
493000,3,4,1
494000,2,4,0
495000,1,3,0
496000,3,4,1
497000,1,2,1
498000,1,4,0
499000,3,4,0
500000,1,4,0
501000,2,4,0
502000,1,3,1
503000,2,4,0
504000,2,3,1
505000,2,3,1
506000,1,4,1
507000,2,4,1
508000,1,3,1
509000,1,2,1
510000,1,3,0
511000,1,4,1
512000,1,3,0
513000,1,4,1
514000,3,4,1
515000,1,3,1
516000,1,2,1
517000,2,4,0
518000,2,3,1
519000,1,4,0
520000,3,4,0
521000,1,3,1
522000,3,4,1
523000,1,4,1
524000,3,4,1
525000,3,4,0
526000,1,2,0
527000,3,4,1
528000,2,3,1
529000,2,3,1
530000,2,3,1
531000,3,4,1
532000,1,2,0
533000,1,3,1
534000,2,3,1
535000,1,2,1
536000,2,3,0
537000,3,4,1
538000,1,2,1
539000,1,3,1
540000,1,2,1
541000,1,3,1
542000,1,4,0
543000,2,4,0
544000,1,2,1
545000,1,4,0
546000,1,2,1
547000,2,3,1
548000,2,3,1
549000,2,3,1
550000,1,2,1
551000,2,4,0
552000,3,4,0
553000,2,3,1
554000,2,4,0
555000,2,4,1
556000,3,4,1
557000,3,4,1
558000,3,4,1
559000,2,4,1
560000,1,2,0
561000,2,4,0
562000,2,4,1
563000,3,4,1
564000,3,4,0
565000,3,4,1
566000,1,2,1
567000,1,2,1
568000,2,4,1
569000,1,4,0
570000,2,3,1
571000,1,3,1
572000,3,4,0
573000,2,3,1
574000,1,3,1
575000,1,3,1
576000,1,4,0
577000,2,4,0
578000,1,4,0
579000,2,4,0
580000,1,3,1
581000,1,3,1
582000,2,3,0
583000,1,3,1
584000,1,4,0
585000,1,2,1
586000,3,4,1
587000,2,3,1
588000,1,2,0
589000,1,3,0
590000,3,4,1
591000,1,3,0
592000,2,3,1
593000,3,4,1
594000,1,3,0
595000,1,4,0
596000,1,3,0
597000,1,4,0
598000,2,4,1
599000,2,4,1
600000,1,3,0
601000,1,4,0
602000,3,4,1
603000,1,4,0
604000,1,2,1
605000,1,4,1
606000,2,3,0
607000,1,3,0
608000,2,3,0
609000,2,4,0
610000,2,4,0
611000,1,2,1
612000,1,3,0
613000,1,4,0
614000,1,2,1
615000,1,3,1
616000,1,4,1
617000,3,4,1
618000,2,3,0
619000,2,4,1
620000,1,2,1
621000,1,3,0
622000,3,4,1
623000,2,4,0
624000,2,3,1
625000,3,4,1
626000,2,4,0
627000,1,2,1
628000,2,4,1
629000,2,3,1
630000,1,3,1
631000,3,4,1
632000,1,4,1
633000,1,2,0
634000,2,3,1
635000,1,2,1
636000,3,4,1
637000,1,2,1
638000,1,2,1
639000,1,2,1
640000,1,4,0
641000,2,3,1
642000,1,2,0
643000,3,4,0
644000,1,4,0
645000,2,3,1
646000,2,3,0
647000,1,3,0
648000,1,2,0
649000,1,2,0
650000,2,3,0
651000,2,3,1
652000,3,4,0
653000,1,3,1
654000,1,2,1
655000,3,4,1
656000,2,4,1
657000,1,3,0
658000,2,4,1
659000,1,4,1
660000,1,2,1
661000,1,3,0
662000,1,2,1
663000,1,4,1
664000,1,3,0
665000,2,4,1
666000,1,2,1
667000,1,3,0
668000,1,2,0
669000,2,4,1
670000,1,4,0
671000,2,4,1
672000,3,4,1
673000,2,4,1
674000,2,4,1
675000,2,4,1
676000,3,4,0
677000,3,4,1
678000,3,4,1
679000,2,4,1
680000,1,4,0
681000,3,4,0
682000,1,4,0
683000,2,3,1
684000,2,3,1
685000,1,3,1
686000,1,2,1
687000,1,2,1
688000,1,2,1
689000,1,4,0
690000,2,4,0
691000,1,2,1
692000,1,3,1
693000,1,4,0
694000,3,4,0
695000,1,3,1
696000,1,2,1
697000,1,2,1
698000,1,3,1
699000,1,4,0
700000,3,4,0
701000,2,3,1
702000,1,2,0
703000,1,4,0
704000,1,4,0
705000,1,2,1
706000,1,4,0
707000,1,2,1
708000,2,4,0
709000,2,3,1
710000,1,3,1
711000,2,4,1
712000,1,4,0
713000,2,3,1
714000,1,3,0
715000,3,4,1
716000,2,4,0
717000,3,4,1
718000,2,3,0
719000,1,3,0
720000,2,4,1
721000,1,3,0
722000,1,2,1
723000,2,3,1
724000,1,2,0
725000,1,4,1
726000,1,3,1
727000,1,2,1
728000,1,2,1
729000,1,2,1
730000,1,2,1
731000,1,2,0
732000,2,4,1
733000,3,4,1
734000,3,4,1
735000,1,2,0
736000,1,4,0
737000,2,3,1
738000,3,4,1
739000,1,2,1
740000,2,3,1
741000,1,3,1
742000,1,3,1
743000,2,4,1
744000,1,3,1
745000,1,2,0
746000,2,3,1
747000,1,3,0
748000,1,2,1
749000,1,4,0
750000,3,4,1
751000,2,4,0
752000,3,4,1
753000,2,3,0
754000,3,4,1
755000,1,4,0
756000,2,4,0
757000,3,4,1
758000,1,4,0
759000,1,3,0
760000,2,3,0
761000,1,4,1
762000,2,3,1
763000,2,3,1
764000,2,3,0
765000,1,2,1
766000,1,2,0
767000,3,4,1
768000,1,4,0
769000,2,4,1
770000,1,3,1
771000,2,4,1
772000,1,2,0
773000,1,3,1
774000,2,3,1
775000,3,4,1
776000,1,3,0
777000,1,3,0
778000,2,4,0
779000,3,4,1
780000,1,2,1
781000,2,4,0
782000,3,4,1
783000,2,3,1
784000,2,4,1
785000,3,4,1
786000,1,4,1
787000,1,4,1
788000,3,4,1
789000,2,3,1
790000,2,3,0
791000,1,4,0
792000,1,4,0
793000,3,4,1
794000,2,4,0
795000,1,3,1
796000,2,4,0
797000,1,4,1
798000,3,4,1
799000,3,4,1
800000,2,4,0
801000,1,2,1
802000,1,4,0
803000,1,4,0
804000,2,4,1
805000,2,4,0
806000,1,4,0
807000,1,4,0
808000,1,2,0
809000,2,4,0
810000,1,2,1
811000,2,4,1
812000,1,2,1
813000,2,3,1
814000,2,4,1
815000,1,2,1
816000,2,4,1
817000,1,2,1
818000,1,2,1
819000,1,3,1
820000,3,4,1
821000,2,4,1
822000,1,4,1
823000,1,4,0
824000,2,4,0
825000,2,3,0
826000,1,3,0
827000,2,4,0
828000,3,4,1
829000,1,4,0
830000,1,3,0
831000,1,4,0
832000,2,3,1
833000,2,4,1
834000,2,3,1
835000,1,3,0
836000,1,2,1
837000,1,4,0
838000,1,4,0
839000,2,3,1
840000,3,4,1
841000,1,3,1
842000,2,4,1
843000,3,4,0
844000,2,3,1
845000,2,3,1
846000,3,4,0
847000,2,3,1
848000,2,4,0
849000,1,2,1
850000,1,4,1
851000,1,3,1
852000,1,4,1
853000,1,3,1
854000,1,4,1
855000,1,4,0
856000,2,3,1
857000,1,2,1
858000,3,4,1
859000,1,4,0
860000,2,3,1
861000,3,4,1
862000,1,4,0
863000,2,3,1
864000,2,3,1
865000,2,3,1
866000,1,2,1
867000,1,4,1
868000,3,4,1
869000,1,2,1
870000,1,4,0
871000,3,4,1
872000,2,4,0
873000,2,3,0
874000,2,3,0
875000,3,4,1
876000,1,3,1
877000,2,3,1
878000,3,4,1
879000,2,3,1
880000,2,4,1
881000,2,4,0
882000,2,4,0
883000,2,3,1
884000,1,4,1
885000,1,4,1
886000,1,2,1
887000,2,4,1
888000,2,3,1
889000,1,2,1
890000,3,4,1
891000,1,4,0
892000,3,4,1
893000,2,3,0
894000,1,4,0
895000,3,4,1
896000,1,2,0
897000,3,4,1
898000,1,2,0
899000,1,4,0
900000,2,3,1
901000,2,3,1
902000,1,3,0
903000,2,3,1
904000,2,4,1
905000,3,4,0
906000,2,3,1
907000,3,4,1
908000,2,4,0
909000,1,2,0
910000,1,3,1
911000,2,3,1
912000,1,4,0
913000,1,2,1
914000,1,2,0
915000,1,3,1
916000,1,2,1
917000,2,4,1
918000,1,4,1
919000,2,4,1
920000,1,3,1
921000,2,4,1
922000,2,3,1
923000,1,4,0
924000,2,3,1
925000,3,4,0
926000,1,4,0
927000,1,4,0
928000,1,4,0
929000,2,3,1
930000,3,4,1
931000,1,3,1
932000,1,4,1
933000,2,4,1
934000,2,4,1
935000,2,3,1
936000,2,4,1
937000,2,3,1
938000,1,2,1
939000,1,4,1
940000,2,3,1
941000,1,3,0
942000,3,4,1
943000,2,3,1
944000,1,2,1
945000,1,3,1
946000,1,2,1
947000,2,3,1
948000,2,3,1
949000,1,3,0
950000,3,4,1
951000,2,3,1
952000,2,3,0
953000,3,4,1
954000,1,2,0
955000,2,4,1
956000,2,3,1
957000,1,3,0
958000,2,3,0
959000,2,4,1
960000,1,3,0
961000,1,2,1
962000,2,4,0
963000,1,3,1
964000,1,3,1
965000,1,3,0
966000,1,2,1
967000,2,4,1
968000,1,4,0
969000,2,3,1
970000,2,4,1
971000,3,4,1
972000,1,2,0
973000,2,3,1
974000,2,3,1
975000,1,4,0
976000,1,3,0
977000,2,3,1
978000,3,4,1
979000,1,3,0
980000,2,4,1
981000,2,3,1
982000,1,3,0
983000,2,4,1
984000,1,4,1
985000,2,4,1
986000,3,4,1
987000,1,3,0
988000,2,4,1
989000,2,4,1
990000,2,4,1
991000,2,4,1
992000,2,4,1
993000,3,4,1
994000,1,3,1
