"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.0508823 7.27967e-05 0.0592839 0 1
"2" 5918 76.3222 0.0468386 0.00499418 0.000444509 0 2
"3" 6412 107.93 0.269819 0.00461692 0.200183 0 3
"4" 11461 122.123 0.121278 0.00715084 0.0133627 0 4
"5" 8399 124.414 0.293685 0.0060012 0.308272 0 5
"6" 9515 128.826 0.143442 0.00352503 5.51656e-05 0 6
"7" 7092 129.961 0.163796 0.00457015 0.0135003 0 7
"8" 5998 130.023 0.276548 0.00393498 0.174555 0 8
"9" 9183 132.186 0.177541 0.00328412 0.0919306 0 9
"10" 11247 132.323 0.286771 0.00305658 0.190049 0 10
"11" 7777 133.496 0.108883 0.00232789 0.00248093 0 11
"12" 11140 137.514 0.207787 0.00507858 0.00855294 0 12
"13" 11089 140.079 0.328395 0.00371264 0.314073 0 13
"14" 8003 140.416 0.412777 -0.00130575 0.106597 0 14
"15" 11441 141.711 0.195092 -0.00349996 0.146273 0 15
"16" 8182 145.504 0.17387 0.0028211 0.0361501 0 16
"17" 8090 146.718 0.234971 0.000309866 0.120181 0 17
"18" 8543 146.968 0.413081 0.00934978 0.308646 0 18
"19" 3596 148.263 0.0190575 -0.000827445 0.164608 0 19
"20" 8893 151.361 0.231263 1.50352e-05 0.0522838 0 20
"21" 10863 156.01 0.241833 0.00824167 0.0356077 0 21
"22" 8861 158.571 0.234558 0.00706106 0.0872936 0 22
"23" 7824 160.53 0.32147 -0.00484492 0.0178499 0 23
"24" 9933 160.766 0.360202 -0.00103704 0.0377814 0 24
"25" 5938 162.614 0.220155 -7.86395e-05 0.0017664 0 25
"26" 10191 165.915 0.467573 -0.00153766 0.0658157 0 26
"27" 8238 166.732 0.406467 -0.00153207 0.00230893 0 27
"28" 9394 168.828 0.466078 -0.000236408 0.133691 0 28
"29" 11716 169.924 0.511246 -0.00170905 0.0708332 0 29
"30" 1924 171.827 0.0939948 0.00509992 0.134103 0 30
