"shifts" "prob"
"1" 19 0.002
"2" 20 0.005
"3" 21 0.014
"4" 22 0.031
"5" 23 0.033
"6" 24 0.054
"7" 25 0.06
"8" 26 0.093
"9" 27 0.085
"10" 28 0.09
"11" 29 0.102
"12" 30 0.081
"13" 31 0.079
"14" 32 0.067
"15" 33 0.063
"16" 34 0.042
"17" 35 0.029
"18" 36 0.019
"19" 37 0.02
"20" 38 0.006
"21" 39 0.008
"22" 40 0.006
"23" 41 0.003
"24" 42 0.004
"25" 43 0.002
"26" 44 0.001
"27" 45 0.001
