"shifts" "prob"
"1" 21 0.001
"2" 22 0.002
"3" 23 0.004
"4" 24 0.007
"5" 25 0.005
"6" 26 0.006
"7" 27 0.011
"8" 28 0.011
"9" 29 0.019
"10" 30 0.03
"11" 31 0.025
"12" 32 0.02
"13" 33 0.025
"14" 34 0.029
"15" 35 0.027
"16" 36 0.018
"17" 37 0.039
"18" 38 0.028
"19" 39 0.04
"20" 40 0.032
"21" 41 0.046
"22" 42 0.046
"23" 43 0.034
"24" 44 0.04
"25" 45 0.04
"26" 46 0.051
"27" 47 0.036
"28" 48 0.046
"29" 49 0.035
"30" 50 0.025
"31" 51 0.025
"32" 52 0.026
"33" 53 0.029
"34" 54 0.018
"35" 55 0.019
"36" 56 0.019
"37" 57 0.014
"38" 58 0.017
"39" 59 0.011
"40" 60 0.009
"41" 61 0.009
"42" 62 0.006
"43" 63 0.006
"44" 64 0.005
"45" 65 0.001
"46" 66 0.001
"47" 68 0.003
"48" 69 0.001
"49" 70 0.002
"50" 71 0.001
