"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.0883383 0.000779135 0.070616 0 1
"2" 5919 111.44 0.190494 0.00739886 0.182037 0 2
"3" 11316 131.645 0.0517274 0.00174114 0.00511311 0 3
"4" 11461 136.684 0.147845 0.00890962 0.0623644 0 4
"5" 7089 137.289 0.0806164 0.00103028 0.0117908 0 5
"6" 10850 140.529 0.0915478 0.00134214 0.0286464 0 6
"7" 9252 145.628 0.179325 -0.00665289 0.0701365 0 7
"8" 7702 149.832 0.154976 0.00220183 0.0277472 0 8
"9" 11004 157.537 0.33204 0.00781745 0.191905 0 9
"10" 10118 158.91 0.195604 -0.00102108 0.00427559 0 10
"11" 9489 159.788 0.152414 0.00290531 0.00130753 0 11
"12" 7281 163.868 0.170207 -0.00111263 0.0231206 0 12
"13" 7102 170.303 0.308654 5.8253e-05 0.126833 0 13
"14" 6547 183.14 0.242573 0.00133945 0.0245414 0 14
"15" 7535 184.612 0.264649 -0.00168118 0.0129611 0 15
"16" 6002 184.892 0.308869 0.00294691 0.0386748 0 16
"17" 9669 185.659 0.312114 -0.00585564 0.031713 0 17
"18" 4402 186.543 0.0186626 -0.00313869 0.117025 0 18
"19" 9495 188.631 0.293828 -0.00790219 0.00134795 0 19
"20" 9372 191.973 0.413827 -0.00600106 0.0674516 0 20
"21" 7410 193.969 0.460068 -0.00247134 0.00681585 0 21
"22" 9006 197.443 0.649685 0.0041653 0.03469 0 22
