"ord" "Lam_mean" "Lam_low95" "Lam_up95" "Lam_nonmean" "Lam_nonlow95" "Lam_nonup95" "Mu_mean" "Mu_low95" "Mu_up95" "Mu_nonmean" "Mu_nonlow95" "Mu_nonup95"
"1" "RODENTIA" 0.192852293210923 0.175058517356337 0.215806149173017 0.181939580096233 0.169436895528436 0.198497362354861 0.0512306972571869 0.0239669411068224 0.0848536247223517 0.0535264657379577 0.0351944623087359 0.0808553592662117
"2" "CHIROPTERA" 0.146627115356857 0.134954300613466 0.15988476546696 0.199611499496338 0.185237719338115 0.219453140183618 0.0223916078483274 0.00877678881028523 0.044079667345007 0.0629106680431305 0.0401210535511845 0.0955891694487467
"3" "EULIPOTYPHLA" 0.207968108538284 0.170174208510535 0.284314260648725 0.184440228398105 0.173561074698741 0.198015453704678 0.0599389063255964 0.0131305255753174 0.154475193500042 0.052053981288439 0.0344615775287471 0.0749256518233796
"4" "PRIMATES" 0.373780469173245 0.318140615015519 0.443299921375555 0.176702805196761 0.165014129255806 0.192883605477631 0.218250094307382 0.132534910592358 0.31255281787737 0.0442733900325753 0.026206859468107 0.0703847337577639
"5" "CETARTIODACTYLA" 0.241218711495905 0.20518324957696 0.291916128585152 0.183704695320788 0.172318334251402 0.198297102806443 0.0529333406090402 0.00977964160846754 0.151059672725952 0.052622034287856 0.0352500906469642 0.0757270293010845
"6" "CARNIVORA" 0.255062101477528 0.20936586557615 0.306245528035565 0.183512844902955 0.171853891029438 0.19853258463202 0.0903754359133769 0.00930549666178084 0.191908625 0.0511768525537028 0.0336261706268896 0.0738907740566687
"7" "DIPROTODONTIA" 0.225725189659525 0.195012773777445 0.26216009009239 0.185388157667834 0.173937861788043 0.201060585193322 0.0284887869707783 0.00380479022701377 0.0780733621123311 0.0531158885488192 0.0351853483411666 0.0785061294581629
"8" "DIDELPHIMORPHIA" 0.175858976498382 0.14849854086126 0.222772452048599 0.186331295361675 0.174767452871611 0.201915503312235 0.0256237394358436 0.000960290975 0.08356392 0.0530442653233894 0.0351558941737543 0.0784119532597865
"9" "LAGOMORPHA" 0.317583929976831 0.224883792719129 0.487285934652641 0.184755472473 0.173082166448294 0.200635125352965 0.200463500873079 0.0397077768271185 0.408317945917657 0.0510383469811259 0.0333497760719531 0.0762169983901042
"10" "DASYUROMORPHIA" 0.172377329926198 0.14675593701995 0.205783497730037 0.186335966632047 0.174816770450837 0.201812723518572 0.0225523796450827 0.000684159425 0.07029229 0.0529860397491078 0.0351333865863983 0.0782570262989931
"11" "AFROSORICIDA" 0.0839776630073126 0.0626742080841243 0.114891115792164 0.188363264468003 0.176688225467509 0.204062651568269 0.0271074122769403 0.00250851077334569 0.0731742939900562 0.0531819780867171 0.0354034577960221 0.0785494103823511
"12" "PERISSODACTYLA" 0.149273321630416 0.0729065990319032 0.280019793927586 0.186392527922718 0.175107269923975 0.201074474823826 0.0695847292331641 0.00105755525 0.203364325 0.0525355606203561 0.0350168657104967 0.0769096921487462
"13" "PERAMELEMORPHIA" 0.172026663869836 0.146304748139107 0.206067723873908 0.186387665960016 0.174882551623484 0.201918946102798 0.0227249113063224 0.000684159425 0.07029229 0.0530846828743173 0.0351658278929937 0.0784068042427343
"14" "CINGULATA" 0.071180093519343 0.0473139034914472 0.107412712805568 0.187089682948229 0.175387910284999 0.202617587371199 0.0202791064192565 0.0006297696 0.070689965 0.0528927305596525 0.0351662383124793 0.0780066679384983
"15" "SCANDENTIA" 0.0988653002268053 0.0519795202083869 0.256462438387377 0.186858025278839 0.175374261007896 0.202306048769114 0.0421192879298522 0.000630214875 0.18430535 0.0527176561827614 0.0351619922841676 0.0776490025552591
"16" "MACROSCELIDEA" 0.0703311648682702 0.04699965322847 0.105296826811905 0.187246072868037 0.175516377493182 0.202817189643142 0.0201283329948202 0.0006384562 0.070689965 0.0529359198243696 0.035132830345181 0.0781033698592566
"17" "PILOSA" 0.0699815859932727 0.0464147777348871 0.105651319526803 0.187238387750417 0.175513616327239 0.202804912261208 0.0201589735565663 0.000629869853683287 0.070689965 0.0529325852827545 0.0352047783021848 0.0780963362324789
"18" "PHOLIDOTA" 0.138916774355208 0.0672350744013287 0.277116788022358 0.186304200616913 0.174883965944938 0.201295457070931 0.0626594066944447 0.000776164975 0.19610155 0.0526080322037931 0.0349982128868547 0.0772533094904443
"19" "PAUCITUBERCULATA" 0.155437103902564 0.0534834374999229 0.197658350885567 0.186243514619897 0.174676679462944 0.201736376626597 0.0274641086558749 0.0006604141 0.0973951125 0.0526913931717336 0.0349849882147021 0.077591921334088
"20" "PROBOSCIDEA" 0.0734553383470828 0.0473596655058741 0.133080331426358 0.186400405609219 0.174812956886187 0.201784862007059 0.0231434870770463 0.0006384562 0.0849002728081108 0.052694342907391 0.0349746458840552 0.0776143717872174
"21" "HYRACOIDEA" 0.0711316670342837 0.0469819618746468 0.10906112292249 0.186431153070079 0.174834924598808 0.201819643323561 0.021067449959756 0.00060667525 0.0772869325 0.0527056545658417 0.0349819468440089 0.0776216511163418
"22" "MONOTREMATA" 0.0394866266886834 0.00887956605258498 0.09679535536477 0.187415482684867 0.175924772872567 0.20298006211498 0.0424412799912265 0.00234839325 0.110519325 0.0527216033814462 0.0347821232943267 0.0781983844781656
"23" "SIRENIA" 0.070679289660137 0.0467227884615169 0.108167646922953 0.186466597458895 0.17486551249574 0.201866037558643 0.020993650630417 0.0006297696 0.0772869325 0.0527152534992929 0.034991540976049 0.077631216823485
