"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.0290719 -0.006321 0.00623562 0 1
"2" 5918 68.5866 0.102938 0.00142217 0.0567487 0 2
"3" 6002 102.603 0.21562 0.00545364 0.175837 0 3
"4" 8431 110.116 0.266617 0.00119334 0.193166 0 4
"5" 9216 112.434 0.237395 -0.00291291 0.0812165 0 5
"6" 11461 116.826 0.162714 0.00322943 0.0394229 0 6
"7" 9710 121.55 0.194508 -0.00134934 0.000607284 0 7
"8" 7137 123.605 0.161411 0.00258398 0.0242495 0 8
"9" 10538 128.65 0.298523 -0.00240822 0.260918 0 9
"10" 11222 128.891 0.240887 0.00692214 0.168486 0 10
"11" 6447 129.782 0.195978 0.00801823 0.0384602 0 11
"12" 8215 131.765 0.167126 0.000924739 0.074103 0 12
"13" 8036 132.214 0.301075 -0.00314911 0.144813 0 13
"14" 6808 132.437 0.222209 0.00495932 0.0496389 0 14
"15" 11280 132.575 0.412198 0.00036724 0.256465 0 15
"16" 8575 134.996 0.475707 0.00134256 0.254524 0 16
"17" 9516 137.075 0.190787 0.00208979 0.00433399 0 17
"18" 8926 140.72 0.18703 0.00921958 0.0361201 0 18
"19" 7814 143.67 0.1895 -0.00127576 0.00226625 0 19
"20" 10147 151.651 0.0769575 0.0063046 0.000946276 0 20
"21" 6911 152.381 0.274239 0.00178276 0.00602552 0 21
"22" 6189 152.894 0.273323 -0.000176354 0.00466161 0 22
"23" 10346 153.721 0.273835 0.0016334 0.0348778 0 23
"24" 10819 154.245 0.365 -0.00265617 0.182177 0 24
"25" 10482 155.928 0.257695 -0.00208214 0.108219 0 25
"26" 8271 157.906 0.493558 0.00712855 0.268789 0 26
"27" 10655 159.169 0.37204 0.00277801 0.0616737 0 27
"28" 11716 161.72 0.474232 -0.00404908 0.00994871 0 28
"29" 9429 163.565 0.9052 -0.00284682 0.0810765 0 29
"30" 4536 166.283 0.00430705 -0.00535698 0.242689 0 30
