"shifts" "prob"
"1" 23 0.001
"2" 25 0.002
"3" 26 0.005
"4" 27 0.007
"5" 28 0.012
"6" 29 0.014
"7" 30 0.026
"8" 31 0.027
"9" 32 0.028
"10" 33 0.043
"11" 34 0.044
"12" 35 0.045
"13" 36 0.055
"14" 37 0.048
"15" 38 0.059
"16" 39 0.059
"17" 40 0.057
"18" 41 0.049
"19" 42 0.045
"20" 43 0.038
"21" 44 0.047
"22" 45 0.045
"23" 46 0.035
"24" 47 0.037
"25" 48 0.018
"26" 49 0.025
"27" 50 0.024
"28" 51 0.018
"29" 52 0.015
"30" 53 0.015
"31" 54 0.014
"32" 55 0.007
"33" 56 0.008
"34" 57 0.008
"35" 58 0.004
"36" 59 0.005
"37" 60 0.001
"38" 61 0.002
"39" 63 0.001
"40" 64 0.002
"41" 65 0.001
"42" 67 0.001
"43" 68 0.001
"44" 70 0.001
"45" 74 0.001
