"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.0349359 0.0112809 0.0275068 0 1
"2" 11461 78.231 0.170365 -0.000516368 0.00145728 0 2
"3" 5919 80.7378 0.157284 0.000592856 0.112913 0 3
"4" 8378 90.9183 0.252631 0.00427344 0.246415 0 4
"5" 6412 92.1363 0.0870575 -0.000917347 0.00312098 0 5
"6" 9273 114.236 0.228969 0.00541074 0.137726 0 6
"7" 8522 118.532 0.34309 0.00623027 0.210693 0 7
"8" 7106 118.681 0.210221 -0.000191068 0.0689518 0 8
"9" 9656 118.955 0.142464 0.00563586 0.00721368 0 9
"10" 7707 125.833 0.207929 0.00393399 0.0591347 0 10
"11" 6425 125.903 0.232521 -0.00526512 0.0481112 0 11
"12" 9657 127.958 0.206348 0.00119056 0.0076565 0 12
"13" 8977 128.673 0.21613 0.00481154 0.0620185 0 13
"14" 8856 129.551 0.416596 -0.00692282 0.236485 0 14
"15" 6604 130.832 0.181399 -0.0117006 0.0051355 0 15
"16" 6288 131.12 0.34786 0.00524111 0.252413 0 16
"17" 11230 139.1 0.199475 0.00175309 0.0167442 0 17
"18" 8038 143.382 0.230617 0.00163062 0.0333306 0 18
"19" 10551 143.985 0.343062 0.00105876 0.153117 0 19
"20" 6426 146.532 0.323448 0.0012224 0.0663532 0 20
"21" 6893 147.635 0.267289 -0.00320304 0.0268488 0 21
"22" 6045 148.274 0.330369 -0.00157135 0.0310225 0 22
"23" 8141 149.024 0.288421 -0.000890618 0.0658668 0 23
"24" 10993 154.037 0.32825 0.00290577 0.0594478 0 24
"25" 6730 157.672 0.424443 5.0866e-05 0.134433 0 25
"26" 9485 158.291 0.767015 -0.0108044 0.183121 0 26
"27" 11716 159.257 0.431699 -0.00311561 0.00194294 0 27
"28" 6648 160.142 0.378429 0.00939546 0.114829 0 28
"29" 3847 163.178 0.00195229 0.000533744 0.29622 0 29
"30" 2492 165.99 0.0422318 -0.00378008 0.0465789 0 30
