"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.0445313 -0.0002268 0.04922 0 1
"2" 5918 86.0356 0.0883994 0.00184484 0.0350339 0 2
"3" 8855 102.921 0.252228 0.00133899 0.163136 0 3
"4" 8399 116.598 0.339979 0.0044345 0.33333 0 4
"5" 11371 122.075 0.0832071 0.000268367 0.0618083 0 5
"6" 11461 122.746 0.151415 0.0049384 0.0125895 0 6
"7" 9491 125.399 0.0887509 0.00205105 0.0277471 0 7
"8" 7173 129.755 0.2249 -0.00494775 0.0545877 0 8
"9" 6414 130.205 0.297885 -0.000930256 0.111812 0 9
"10" 8003 132.916 0.201751 -0.00312533 0.00298706 0 10
"11" 8543 134.339 0.309872 0.00771841 0.123278 0 11
"12" 9724 136.386 0.192207 0.00500791 0.0370178 0 12
"13" 6025 139.589 0.290311 0.0061955 0.173465 0 13
"14" 6720 142.717 0.292375 -0.00453559 0.302514 0 14
"15" 10537 144.584 0.24705 0.00156897 0.00677299 0 15
"16" 7779 148.619 0.160131 0.000772926 0.000342363 0 16
"17" 6753 151.852 0.278426 -0.00710388 0.0129869 0 17
"18" 8183 152.522 0.228946 -0.0069015 0.0454637 0 18
"19" 9702 154.695 0.281063 0.00690216 0.200491 0 19
"20" 6158 155.751 0.295108 -0.00300446 0.0474007 0 20
"21" 6855 156.234 0.239015 -0.00204742 0.0391549 0 21
"22" 9908 158.273 0.294524 0.0115201 0.0196428 0 22
"23" 9585 158.37 0.246572 0.00547691 0.0386033 0 23
"24" 8997 159.863 0.402031 -0.000695169 0.0406651 0 24
"25" 10366 160.836 0.256372 0.00572806 0.00344461 0 25
"26" 8004 161.385 0.349552 0.00329304 0.0670128 0 26
"27" 9739 163.106 0.393656 0.000891881 0.0454702 0 27
"28" 11716 167.743 0.422854 0.00582722 0.00401792 0 28
"29" 8227 168.729 0.650035 0.00290306 0.0339645 0 29
"30" 9394 168.913 0.764476 -0.00627058 0.144462 0 30
