"shifts" "prob"
"1" 16 0.002
"2" 17 0.002
"3" 18 0.006
"4" 19 0.012
"5" 20 0.02
"6" 21 0.035
"7" 22 0.067
"8" 23 0.054
"9" 24 0.086
"10" 25 0.098
"11" 26 0.102
"12" 27 0.091
"13" 28 0.064
"14" 29 0.066
"15" 30 0.052
"16" 31 0.056
"17" 32 0.044
"18" 33 0.029
"19" 34 0.027
"20" 35 0.016
"21" 36 0.01
"22" 37 0.024
"23" 38 0.015
"24" 39 0.009
"25" 40 0.006
"26" 42 0.002
"27" 44 0.001
"28" 45 0.003
"29" 46 0.001
