"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.192342 0.00287699 0.191926 0 1
"2" 5913 41.3457 0.0452175 -0.0037531 0.04365 0 2
"3" 5919 72.3912 0.104497 0.000878799 0.0701405 0 3
"4" 6011 82.7866 0.0810428 0.000286294 0.0399911 0 4
"5" 8958 106.544 0.0967563 0.00510182 0.0536497 0 5
"6" 7213 108.31 0.0666263 0.00415706 0.00462778 0 6
"7" 10667 125.708 0.223241 -0.00192046 0.0245626 0 7
"8" 11392 126.052 0.0689256 0.00128524 0.0104324 0 8
"9" 7669 128.87 0.21341 -0.00244832 0.0364869 0 9
"10" 6046 129.388 0.137767 -0.00280237 0.181755 0 10
"11" 8646 130.832 0.314942 0.00998425 0.200481 0 11
"12" 10062 138.14 0.207908 -0.00460348 0.00807079 0 12
"13" 7226 138.985 0.16723 0.00246973 0.0826264 0 13
"14" 7405 140.459 0.169827 0.00436982 0.0415438 0 14
"15" 7227 145.678 0.33331 0.000436026 0.0925853 0 15
"16" 8301 146.948 0.222268 -0.00365707 0.0731648 0 16
"17" 6694 149.794 0.287579 -0.00277724 0.0607158 0 17
"18" 6303 150.449 0.28082 0.00806448 0.117522 0 18
"19" 10366 155.655 0.222471 -0.00333449 0.00999303 0 19
"20" 10527 157.903 0.382248 0.00379051 0.108745 0 20
"21" 9608 164.767 0.572979 -0.00348089 0.318683 0 21
"22" 6165 165.028 0.685629 0.00194089 0.179692 0 22
"23" 7467 166.682 0.742803 -0.000242641 0.0618403 0 23
