"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.0409092 0.00729832 0.0371841 0 1
"2" 5952 86.6261 0.213898 0.00435577 0.189853 0 2
"3" 9712 110.075 0.0784673 -0.00277328 0.00998428 0 3
"4" 9714 119.085 0.261485 -0.00518644 0.109733 0 4
"5" 7507 125.726 0.103059 0.00509017 0.047164 0 5
"6" 7816 126.974 0.131667 0.0096471 0.0251088 0 6
"7" 11468 128.431 0.154865 0.00683126 0.0552987 0 7
"8" 9944 132.824 0.190451 -0.00533769 0.00407044 0 8
"9" 10575 135.247 0.164424 0.0049095 0.00115433 0 9
"10" 8575 142.517 0.472359 0.004791 0.291806 0 10
"11" 10142 149.361 0.282489 0.000559642 0.0559031 0 11
"12" 6603 151.52 0.251481 -0.00093753 0.0256097 0 12
"13" 9821 152.553 0.324608 0.00605454 0.164273 0 13
"14" 7572 153.187 0.256625 -0.00284498 0.0078825 0 14
"15" 6212 154.593 0.366571 -0.0015417 0.0923381 0 15
"16" 9904 161.84 0.394884 0.000688406 0.0594362 0 16
"17" 11717 165.47 0.448066 0.00657654 0.069951 0 17
"18" 10040 165.709 0.401808 0.00525408 0.0425281 0 18
"19" 7440 166.472 0.727245 0.00202984 0.430306 0 19
"20" 9517 167.301 0.800518 0.00407816 0.0709442 0 20
