"shifts" "prob"
"1" 17 0.001
"2" 21 0.002
"3" 22 0.006
"4" 23 0.014
"5" 24 0.016
"6" 25 0.023
"7" 26 0.036
"8" 27 0.046
"9" 28 0.07
"10" 29 0.052
"11" 30 0.07
"12" 31 0.068
"13" 32 0.082
"14" 33 0.07
"15" 34 0.059
"16" 35 0.057
"17" 36 0.052
"18" 37 0.049
"19" 38 0.05
"20" 39 0.031
"21" 40 0.027
"22" 41 0.017
"23" 42 0.015
"24" 43 0.023
"25" 44 0.011
"26" 45 0.012
"27" 46 0.01
"28" 47 0.004
"29" 48 0.008
"30" 49 0.004
"31" 50 0.001
"32" 51 0.002
"33" 52 0.004
"34" 53 0.003
"35" 56 0.002
"36" 57 0.001
"37" 63 0.001
"38" 64 0.001
