"ord" "Lam_mean" "Lam_low95" "Lam_up95" "Lam_nonmean" "Lam_nonlow95" "Lam_nonup95" "Mu_mean" "Mu_low95" "Mu_up95" "Mu_nonmean" "Mu_nonlow95" "Mu_nonup95"
"1" "RODENTIA" 0.194578019180022 0.184186894447784 0.206396879653243 0.204847719224694 0.190884907903719 0.219402573101429 0.0333410316770324 0.0191135663250776 0.050574342937146 0.0716798320839554 0.0514806506137276 0.0934915596543268
"2" "CHIROPTERA" 0.179697397350123 0.162460634109857 0.199285958656339 0.207348227162055 0.195520397553648 0.220589479643661 0.0414830136167662 0.0171069109580683 0.0709392900396466 0.0615627242007427 0.0448119159787716 0.0803936670775055
"3" "EULIPOTYPHLA" 0.215772395450182 0.181606899752646 0.257913086581932 0.199600838243239 0.189834827925141 0.210288842662339 0.0788370621044553 0.0287555602657841 0.142675144534889 0.0549788996600922 0.0408016022121371 0.0704814582730965
"4" "PRIMATES" 0.385279712599717 0.313811166775062 0.477824286867946 0.190608927547081 0.181107780716948 0.201270520344924 0.237696594637632 0.133826472103915 0.366752103586654 0.0467934542367266 0.03207429128041 0.0618678680927758
"5" "CETARTIODACTYLA" 0.240241846332305 0.210717767932356 0.279465294458909 0.199007028198256 0.18882035750032 0.210214411349002 0.0457568565432217 0.017156762034086 0.0978803158593026 0.0573934659239521 0.0423545753053049 0.0728593632893967
"6" "CARNIVORA" 0.27103449758261 0.224409976994251 0.327550168860515 0.198155097929235 0.187949760716571 0.209299867656306 0.0829969313357222 0.00949550932027487 0.172799030897281 0.0558503504866438 0.0408128271773936 0.0710787412380433
"7" "DIPROTODONTIA" 0.246963636189954 0.213869835308605 0.290685790450187 0.199983976875315 0.189932280826142 0.211055758135973 0.0370173111182271 0.00520495617745293 0.0946494021039006 0.0572507117295547 0.0421601636051837 0.0727836393338371
"8" "DIDELPHIMORPHIA" 0.185615842266242 0.155784192238194 0.230424230723407 0.201122877751925 0.191013045317568 0.212271413308249 0.031790717917184 0.00138627 0.10010875 0.0572651701704602 0.0421488875765782 0.0730542995142351
"9" "LAGOMORPHA" 0.334485390653363 0.227052567262253 0.476692231512722 0.199352697631382 0.18924303488427 0.210211460477002 0.19430150696225 0.0393916996668288 0.375232570373592 0.0552946840836787 0.0405000280221958 0.0708355506694894
"10" "DASYUROMORPHIA" 0.182811200586894 0.152804561522181 0.221646122728765 0.201105458981349 0.19095245131197 0.212308894591477 0.028546061660896 0.0011946445 0.084548545 0.057219501005241 0.0421612868481268 0.0728162712848357
"11" "AFROSORICIDA" 0.12018998836504 0.0857269194853982 0.165141775225263 0.202571509131663 0.192711490766595 0.213216780927589 0.0732054432122896 0.0250172725 0.1365286 0.0565224129487944 0.0415712605776536 0.0718914353034638
"12" "PERISSODACTYLA" 0.128158027693789 0.0870289673976276 0.231197403367744 0.201346503697297 0.191378425758407 0.212249894457854 0.0751571203357289 0.010413785 0.173908625 0.0567475845457232 0.0419404002128873 0.0722033307288427
"13" "PERAMELEMORPHIA" 0.18269618391827 0.152759700061636 0.221112401986547 0.201165854677855 0.191002732843611 0.212382418714659 0.0287674398090418 0.00125244775 0.0850462375 0.057307833121169 0.0422538463309797 0.0730404954341796
"14" "CINGULATA" 0.119915962770386 0.0835397654309973 0.164156073328901 0.201520533787752 0.191522447681975 0.212376286105158 0.0723913218641488 0.02273042 0.134154375 0.0567421322711008 0.0419202296545741 0.0721353779958884
"15" "SCANDENTIA" 0.119262632938893 0.0820135413239195 0.165357174453021 0.201641434186201 0.191657200516896 0.212448649182302 0.0720975495459401 0.0227175425 0.1335586 0.0567228603488538 0.0420057606371339 0.0720709512399834
"16" "MACROSCELIDEA" 0.119543005472462 0.0839306537806689 0.16612195505041 0.201739486864324 0.19176559612128 0.212542409621314 0.0732246372281487 0.0254049082843415 0.1365286 0.0566920878405276 0.0418737612705261 0.0720147130279355
"17" "PILOSA" 0.118942359124824 0.0809386455447517 0.165002215777019 0.201542976236312 0.191541879618949 0.212382670885369 0.0720420743555302 0.0202683484428266 0.135208925 0.0567421693990551 0.0419155249711031 0.0721272085417908
"18" "PHOLIDOTA" 0.118196493937512 0.0816548762374135 0.164770253403531 0.201200952161341 0.191127139378827 0.212135034530362 0.06687773317123 0.0089365205 0.12624255 0.056826146865788 0.0419250928650178 0.0723337137944107
"19" "PAUCITUBERCULATA" 0.17714962323142 0.143623227789212 0.218160577196119 0.200929689591904 0.190784259143661 0.211958172913992 0.0312133117380274 0.0012266055 0.10124465 0.0569195217384148 0.0419788632133245 0.0725599140111043
"20" "PROBOSCIDEA" 0.120432018744655 0.0842236427208926 0.165475735605505 0.201033761841751 0.190965380375931 0.211989091836359 0.073423319308939 0.024999715 0.139767525 0.0568333088837461 0.0419388678898173 0.0724088812247002
"21" "HYRACOIDEA" 0.120275993289349 0.0840195926515834 0.16634340494893 0.201016678233171 0.190941685521625 0.211972111455723 0.0733995154565572 0.0242928725 0.139767525 0.0568369204287349 0.0419403757580485 0.0724188320471055
"22" "MONOTREMATA" 0.0217664327529318 0.00610395255745378 0.0625468068773225 0.203131801138169 0.192945504225461 0.214235262197323 0.0210829175451417 0.000515683 0.0754381160022618 0.0573150774301985 0.0423821065102359 0.0731765933757307
"23" "SIRENIA" 0.120346528028042 0.0842076195845797 0.165535810657076 0.201087296475765 0.191023303711931 0.212038516892524 0.0735221979622487 0.024999715 0.139767525 0.0568220801209756 0.041934234298579 0.0723783029271012
