"shifts" "prob"
"1" 28 0.002
"2" 29 0.004
"3" 30 0.004
"4" 31 0.007
"5" 32 0.009
"6" 33 0.013
"7" 34 0.019
"8" 35 0.033
"9" 36 0.037
"10" 37 0.043
"11" 38 0.054
"12" 39 0.056
"13" 40 0.06
"14" 41 0.073
"15" 42 0.052
"16" 43 0.072
"17" 44 0.057
"18" 45 0.06
"19" 46 0.059
"20" 47 0.046
"21" 48 0.044
"22" 49 0.044
"23" 50 0.028
"24" 51 0.017
"25" 52 0.022
"26" 53 0.023
"27" 54 0.012
"28" 55 0.009
"29" 56 0.011
"30" 57 0.008
"31" 58 0.005
"32" 59 0.005
"33" 61 0.002
"34" 62 0.006
"35" 63 0.001
"36" 64 0.002
"37" 66 0.001
