"shifts" "prob"
"1" 26 0.002
"2" 27 0.001
"3" 28 0.001
"4" 29 0.007
"5" 30 0.007
"6" 31 0.016
"7" 32 0.031
"8" 33 0.034
"9" 34 0.043
"10" 35 0.052
"11" 36 0.061
"12" 37 0.076
"13" 38 0.071
"14" 39 0.067
"15" 40 0.057
"16" 41 0.068
"17" 42 0.072
"18" 43 0.063
"19" 44 0.051
"20" 45 0.041
"21" 46 0.034
"22" 47 0.023
"23" 48 0.03
"24" 49 0.026
"25" 50 0.013
"26" 51 0.015
"27" 52 0.006
"28" 53 0.009
"29" 54 0.004
"30" 55 0.003
"31" 56 0.003
"32" 57 0.006
"33" 58 0.002
"34" 59 0.002
"35" 60 0.001
"36" 63 0.002
