"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.0244512 0.00209421 0.0217712 0 1
"2" 5918 85.2563 0.0653655 0.00777875 0.0265816 0 2
"3" 9071 117.946 0.193395 0.00512393 0.129917 0 3
"4" 11461 123.38 0.17016 0.00342406 0.0315524 0 4
"5" 8523 125.915 0.385383 0.00045896 0.293468 0 5
"6" 9888 131.124 0.139082 0.00860145 0.00400845 0 6
"7" 7612 133.87 0.206496 0.00373652 0.0971988 0 7
"8" 8667 139.273 0.334597 0.0046959 0.110837 0 8
"9" 8980 140.251 0.339286 0.00109835 0.0312011 0 9
"10" 6545 144.764 0.436911 -0.00298554 0.244418 0 10
"11" 6124 145.142 0.273762 0.00987008 0.209283 0 11
"12" 7226 146.212 0.157933 0.00542207 0.0807844 0 12
"13" 9696 150.966 0.186162 0.000296301 0.0191095 0 13
"14" 7438 151.562 0.218879 -0.00108878 0.104499 0 14
"15" 3974 152.908 0.0277915 0.0019741 0.0464046 0 15
"16" 11577 154.195 0.105434 -0.00232531 0.156427 0 16
"17" 6900 157.861 0.224476 0.00782045 0.0220314 0 17
"18" 11439 158.808 0.144724 -0.00334648 0.143059 0 18
"19" 7227 158.843 0.325144 -0.00140297 0.13197 0 19
"20" 8385 160.291 0.259748 -0.00337929 0.0571207 0 20
"21" 6282 160.776 0.271093 -0.00318946 0.00681711 0 21
"22" 7002 163.029 0.301206 -0.00161787 0.0285221 0 22
"23" 10348 163.919 0.434201 0.000553443 0.227507 0 23
"24" 11714 164.002 0.371633 -0.00361846 0.0220921 0 24
"25" 10522 169.582 0.414358 -0.00567736 0.118467 0 25
"26" 6877 169.986 0.459243 0.00411533 0.307948 0 26
"27" 7480 170.808 0.49249 0.00226942 0.0573913 0 27
"28" 9608 174.18 0.630121 0.00232205 0.107136 0 28
