"shifts" "prob"
"1" 18 0.002
"2" 19 0.006
"3" 20 0.011
"4" 21 0.014
"5" 22 0.034
"6" 23 0.042
"7" 24 0.047
"8" 25 0.068
"9" 26 0.058
"10" 27 0.09
"11" 28 0.096
"12" 29 0.082
"13" 30 0.086
"14" 31 0.073
"15" 32 0.064
"16" 33 0.042
"17" 34 0.044
"18" 35 0.041
"19" 36 0.033
"20" 37 0.026
"21" 38 0.01
"22" 39 0.006
"23" 40 0.01
"24" 41 0.004
"25" 42 0.004
"26" 43 0.004
"27" 44 0.002
"28" 46 0.001
