"node" "time" "lam1" "lam2" "mu1" "mu2" "index"
"1" 5912 0 0.0891062 0.000531736 0.0709718 0 1
"2" 6011 103.477 0.225055 0.00531176 0.19859 0 2
"3" 9831 127.461 0.0890459 -0.00881476 0.00317769 0 3
"4" 7181 129.559 0.152043 0.0024851 0.00184563 0 4
"5" 11468 133.624 0.129365 0.00852563 0.0417791 0 5
"6" 7567 134.26 0.157116 -0.00471394 0.0585618 0 6
"7" 9863 135.131 0.180619 0.0022776 0.0210557 0 7
"8" 8635 137.886 0.4719 -0.000575089 0.146336 0 8
"9" 7184 142.605 0.0453084 0.000409541 0.0031955 0 9
"10" 4675 147.245 0.107801 -0.000798926 0.21263 0 10
"11" 9864 149.397 0.208155 0.00454696 0.00705179 0 11
"12" 9460 156.709 0.253963 -0.00223675 0.105941 0 12
"13" 7195 160.846 0.357781 -0.00218344 0.0967446 0 13
"14" 4676 162.415 0.00558881 -0.00594935 0.161126 0 14
"15" 6270 166.19 0.352125 -0.00130351 0.00320817 0 15
"16" 7640 167.166 0.257869 -0.00350021 0.0121518 0 16
"17" 11196 168.051 0.362111 0.00470214 0.0286033 0 17
"18" 11714 168.492 0.31253 0.00563 0.0114423 0 18
"19" 7413 172.599 0.540688 0.00129108 0.0761689 0 19
"20" 7479 173.394 0.103557 0.00165233 0.0144508 0 20
"21" 9580 177.181 0.786769 -0.000922308 0.028207 0 21
