"ord" "Lam_mean" "Lam_low95" "Lam_up95" "Lam_nonmean" "Lam_nonlow95" "Lam_nonup95" "Mu_mean" "Mu_low95" "Mu_up95" "Mu_nonmean" "Mu_nonlow95" "Mu_nonup95"
"1" "RODENTIA" 0.196935471084814 0.184807059054334 0.215901874046143 0.202139487161424 0.18982569964868 0.21590645450324 0.037989680648544 0.020687725706638 0.0668890293766065 0.0683092737361088 0.0474997391463756 0.0893859167852778
"2" "CHIROPTERA" 0.181131225822148 0.162982203867557 0.201471495913017 0.206318999819469 0.196132653465227 0.218932750133155 0.0583599627579695 0.0289406983750751 0.0897057608062417 0.0559051025619209 0.0397019637243758 0.0748913482644906
"3" "EULIPOTYPHLA" 0.18508576505391 0.163642458501423 0.210431502252589 0.201506919016615 0.190967969409273 0.213435785907056 0.0480169766074495 0.0188110571135108 0.0824681646676597 0.0572968561788865 0.0408257886473212 0.0752942267187013
"4" "PRIMATES" 0.381800318261671 0.323379420053962 0.450294846512611 0.190676600491761 0.180127266140361 0.203005162581304 0.207013774808485 0.123754710345588 0.308374624289235 0.0486919361794021 0.0318116464677335 0.0668913492977061
"5" "CETARTIODACTYLA" 0.243832254576404 0.213180852815485 0.285065528040318 0.198079257896333 0.188258518198325 0.209921996886565 0.0432869109872153 0.0145061725647325 0.103904524069002 0.0571253338633895 0.0411883957102458 0.0754127024049483
"6" "CARNIVORA" 0.302831937346953 0.24898059836237 0.369064521822541 0.196435747161889 0.186345821145505 0.207541846920449 0.108591621527065 0.0160258004094979 0.209896965859377 0.0546446931820302 0.0381527737442114 0.0723514738586583
"7" "DIPROTODONTIA" 0.227834944150569 0.198122102409046 0.26352690471773 0.199539028529891 0.189542690074502 0.211279446110072 0.0286593094403119 0.00364869716200164 0.0752755697395592 0.05708774418026 0.0406586040827789 0.0752040991096664
"8" "DIDELPHIMORPHIA" 0.17172923150913 0.147108620366454 0.209680793834529 0.200584237218505 0.190491736609433 0.212362882519472 0.0233130737806688 0.000648702825 0.0741290475 0.0570594950652988 0.0409236882312196 0.0749056403118384
"9" "LAGOMORPHA" 0.331583681485997 0.238346121382887 0.468652410044813 0.198695020962802 0.188619359709578 0.210749729752326 0.177951455880334 0.0345062181610863 0.359050586991702 0.0551988585165431 0.0393752658436266 0.0730492770742526
"10" "DASYUROMORPHIA" 0.16950779970513 0.145706805375766 0.200543248820975 0.200509379647715 0.190739987560186 0.212202800743448 0.0221429469913674 0.000697610047353572 0.07101095 0.0569535137891677 0.0408480827733213 0.0747061847665516
"11" "AFROSORICIDA" 0.109089251348445 0.0850999570228294 0.138687680089317 0.201735738629995 0.192354197311321 0.213056231994765 0.0443951382755271 0.007960324 0.0853368625 0.0567256401576645 0.0411083925774593 0.0745418358065117
"12" "PERISSODACTYLA" 0.125038479320397 0.0877315244992078 0.263144436973371 0.200562961129545 0.190891238815646 0.212040632766536 0.0570819558656275 0.00981814525 0.2138846 0.0565064130832292 0.0406783263993103 0.0744803570329902
"13" "PERAMELEMORPHIA" 0.169253771120881 0.14545293562327 0.199061996171806 0.200640198003974 0.190882669538012 0.212374273634882 0.0221579457351631 0.0006910367 0.07031292 0.0570952881182612 0.040933744790243 0.0749321540739305
"14" "CINGULATA" 0.109111651750701 0.0852441787187948 0.139143318251967 0.200782257100335 0.191220040959763 0.212187897638946 0.0439933540028445 0.006543434 0.084939305 0.0566017106492421 0.0408633678022326 0.0744978618107383
"15" "SCANDENTIA" 0.139332243196831 0.0859658774474667 0.36682818873144 0.200468201320355 0.190871458278468 0.211745035974728 0.0740372348996705 0.0129148675 0.324067075 0.0564077643000338 0.0402487983157747 0.0741352289352813
"16" "MACROSCELIDEA" 0.108593536920446 0.0846250462859831 0.138428224283276 0.200836043127094 0.191285833127976 0.212246732933516 0.0442004971171367 0.006543434 0.0853368625 0.0566069126739599 0.0408761449586833 0.074504871928152
"17" "PILOSA" 0.108189597116393 0.0837550751040406 0.138310524071023 0.200761578289237 0.191191529403988 0.212155862135984 0.0440277145913289 0.0065787955 0.084939305 0.0565977314638612 0.040856382268046 0.0744940292353891
"18" "PHOLIDOTA" 0.108594024168478 0.0839353982230563 0.141204227956434 0.200479944586111 0.190851621104124 0.21187617772071 0.0434125609177566 0.005889404 0.0853368625 0.0565621669116383 0.0407470686465426 0.074454929137892
"19" "PAUCITUBERCULATA" 0.157290952624354 0.0538174150420757 0.195608262029233 0.200217266682963 0.190434196111493 0.211804209340959 0.0284662682110286 0.000577798625 0.10823645 0.056577297279691 0.0406423986570054 0.0744143914263522
"20" "PROBOSCIDEA" 0.109455493067373 0.0851322157401544 0.141332687609953 0.200266929369839 0.190592936905525 0.211678114180054 0.0449524168516057 0.00671925075 0.0885785625 0.0565292970153813 0.0406592525313527 0.0744252569325005
"21" "HYRACOIDEA" 0.109424072454662 0.0851364839298305 0.140468903869462 0.200293181529785 0.190624611320464 0.211701861847742 0.044589962526138 0.006543434 0.0865643125 0.0565333509432358 0.0406702268422811 0.0744289650446983
"22" "MONOTREMATA" 0.0414920827208545 0.0108643385996254 0.111976552972764 0.201284864444326 0.191500021987097 0.212686443078472 0.0486594218073643 0.00361140925 0.130940075 0.0565677679371469 0.0403807330892434 0.0745062383829992
"23" "SIRENIA" 0.109164205026268 0.0848667503807492 0.140107392216823 0.200305433699398 0.1906395599598 0.211713712573168 0.0448161092453291 0.00671925075 0.0866951125 0.0565344141223666 0.0406751301964762 0.0744306218400652
