"shifts" "prob"
"1" 21 0.001
"2" 22 0.002
"3" 23 0.004
"4" 25 0.003
"5" 26 0.001
"6" 27 0.01
"7" 28 0.01
"8" 29 0.009
"9" 30 0.019
"10" 31 0.033
"11" 32 0.026
"12" 33 0.05
"13" 34 0.038
"14" 35 0.05
"15" 36 0.05
"16" 37 0.069
"17" 38 0.061
"18" 39 0.069
"19" 40 0.062
"20" 41 0.066
"21" 42 0.055
"22" 43 0.055
"23" 44 0.043
"24" 45 0.045
"25" 46 0.042
"26" 47 0.026
"27" 48 0.027
"28" 49 0.012
"29" 50 0.021
"30" 51 0.008
"31" 52 0.014
"32" 53 0.004
"33" 54 0.004
"34" 55 0.006
"35" 56 0.003
"36" 59 0.002
