generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,6.06102,-21544.4,1,0
1000,0,2.45439,-16036.7,0.0144496,0.205
2000,1,8.7444,-16024.4,0.165689,0.274
3000,1,8.29285,-16022.2,1.09788,0.372
4000,1,8.4311,-16021.8,0.360959,0.354
5000,1,8.35014,-16022.5,0.542292,0.311
6000,1,9.24414,-16022.5,0.102558,0.369
7000,1,10.1745,-16023.5,0.457791,0.358
8000,1,7.97321,-16028,0.961689,0.327334
9000,1,8.59647,-16024.3,1.0826,0.355
10000,1,9.09293,-16023.6,1.56193,0.370667
11000,1,9.07846,-16021.1,0.558131,0.366
12000,1,7.34202,-16022.9,1.95767,0.378333
13000,1,9.13482,-16022.1,0.561697,0.3575
14000,2,15.042,-16021.2,0.694868,0.354
15000,2,11.7669,-16021.1,1.10558,0.367
16000,1,4.82135,-16024.2,6.02066,0.403
17000,2,14.9071,-16021.6,2.0628,0.348509
18000,0,3.85203,-16031.9,0.525942,0.348036
19000,0,4.23174,-16031.2,0.104599,0.137
20000,1,4.15143,-16024.3,1.94702,0.362
21000,1,6.20577,-16024.6,2.32215,0.328
22000,1,7.70814,-16024.3,1.86804,0.3556
23000,1,8.20584,-16022.1,0.254691,0.36
24000,1,8.75847,-16023,0.890884,0.346
25000,1,3.89495,-16023.4,1.19189,0.347
26000,1,7.975,-16010.5,1.22498,0.229571
27000,1,8.00243,-16010.5,0.81193,0.287
28000,2,14.3712,-16006.3,1.27333,0.319
29000,0,3.13987,-16030.6,0.738016,0.244538
30000,2,14.2188,-16007.7,1.35037,0.335
31000,1,7.45615,-16010.3,1.25112,0.276
32000,1,8.49892,-16023.3,0.366353,0.341857
33000,1,6.93927,-16023.5,1.6674,0.329
34000,0,3.99969,-16030.4,0.122181,0.1364
35000,0,3.9951,-16030.5,0.123562,0.133
36000,0,2.63373,-16031.2,1.22759,0.2565
37000,1,8.356,-16029.3,1.30557,0.3575
38000,0,2.96603,-16031.7,0.36148,0.235
39000,0,3.35781,-16034.1,0.0643249,0.145
40000,0,2.67389,-16035.8,0.808618,0.136
41000,0,3.12571,-16031.5,0.157616,0.136
42000,0,3.1269,-16032.2,0.275236,0.155
43000,0,3.52541,-16031.7,0.44633,0.140429
44000,0,3.40065,-16031.4,0.627235,0.142222
