"harmMeans_Lam" "arithMeans_Lam" "harmMeans_Mu" "arithMeans_Mu" "harmMeans_NetDiv" "arithMeans_NetDiv"
"Zaglossus_bartoni_TACHYGLOSSIDAE_MONOTREMATA" 0.0739674584762921 0.0905204496552233 0.0305176181562852 0.0725815412291 0.0359520956955903 0.0179389084261233
"Zaglossus_attenboroughi_TACHYGLOSSIDAE_MONOTREMATA" 0.0739674584762921 0.0905204496552233 0.0305176181562852 0.0725815412291 0.0359520956955903 0.0179389084261233
"Zaglossus_bruijnii_TACHYGLOSSIDAE_MONOTREMATA" 0.0738194544359811 0.0904678209607084 0.0305323427890376 0.0726751551291 0.0360013315476643 0.0177926658316083
"Tachyglossus_aculeatus_TACHYGLOSSIDAE_MONOTREMATA" 0.0739674584762921 0.0905204496552233 0.0305176181562852 0.0725815412291 0.0359520956955903 0.0179389084261233
"Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA" 0.0718302271648845 0.0902756278653678 0.0305059216508474 0.0728727450291 0.0355066109741662 0.0174028828362678
"Hydrodamalis_gigas_DUGONGIDAE_SIRENIA" 0.0876628508248913 0.0913079225862942 0.0294641510320147 0.0606172668251 0.0290663566245545 0.0306906557611942
"Trichechus_manatus_TRICHECHIDAE_SIRENIA" 0.0887507596214206 0.0914116947339034 0.0294626073649469 0.0605957929251 0.0289810826954729 0.0308159018088034
"Trichechus_senegalensis_TRICHECHIDAE_SIRENIA" 0.0887507596214206 0.0914116947339034 0.0294626073649469 0.0605957929251 0.0289810826954729 0.0308159018088034
"Trichechus_inunguis_TRICHECHIDAE_SIRENIA" 0.0887507596214206 0.0914116947339034 0.0294626073649469 0.0605957929251 0.0289810826954729 0.0308159018088034
"Dugong_dugon_DUGONGIDAE_SIRENIA" 0.0887507596214206 0.0914116947339034 0.0294626073649469 0.0605957929251 0.0289810826954729 0.0308159018088034
"Mammut_americanum_Mammutidae_PROBOSCIDEA" 0.0882129455361591 0.0915406580455999 0.0295154288376584 0.0608526227251 0.0290323386510538 0.0306880353204999
"Loxodonta_africana_ELEPHANTIDAE_PROBOSCIDEA" 0.0882935712539811 0.0917437311381039 0.0294371811776738 0.0607264115251 0.0300172708967396 0.0310173196130039
"Mammuthus_primigenius_Mammutidae_PROBOSCIDEA" 0.0889026847670278 0.0918144914177697 0.0294980625255037 0.0608162360251 0.0290431944471603 0.0309982553926697
"Mammuthus_columbi_Mammutidae_PROBOSCIDEA" 0.0889026847670278 0.0918144914177697 0.0294980625255037 0.0608162360251 0.0290431944471603 0.0309982553926697
"Elephas_maximus_ELEPHANTIDAE_PROBOSCIDEA" 0.0889026847670278 0.0918144914177697 0.0294980625255037 0.0608162360251 0.0290431944471603 0.0309982553926697
"Elephas_cypriotes_ELEPHANTIDAE_PROBOSCIDEA" 0.0889026847670278 0.0918144914177697 0.0294980625255037 0.0608162360251 0.0290431944471603 0.0309982553926697
