generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,4,0
3000,1,4,1
4000,1,2,1
5000,2,3,1
6000,3,4,1
7000,1,3,1
8000,1,2,1
9000,1,3,1
10000,1,2,1
11000,1,4,1
12000,1,4,1
13000,1,3,1
14000,2,4,1
15000,2,4,1
16000,1,3,1
17000,2,4,1
18000,1,3,1
19000,1,3,1
20000,1,4,1
21000,1,4,1
22000,2,3,1
23000,1,3,1
24000,1,2,1
25000,3,4,1
26000,1,2,1
27000,1,3,1
28000,2,3,1
29000,1,4,1
30000,3,4,1
31000,2,3,1
32000,2,3,1
33000,2,4,1
34000,3,4,1
35000,3,4,1
36000,1,2,1
37000,3,4,1
38000,1,2,1
39000,2,3,1
40000,2,4,1
41000,3,4,1
42000,2,3,1
43000,1,2,1
44000,2,3,1
45000,3,4,1
46000,1,3,1
47000,2,3,1
48000,1,3,0
49000,2,4,1
50000,2,3,1
51000,1,2,1
52000,3,4,1
53000,1,4,1
54000,1,4,1
55000,1,2,1
56000,1,3,1
57000,3,4,1
58000,1,3,1
59000,1,3,1
60000,1,4,1
61000,2,3,1
62000,1,2,1
63000,2,3,1
64000,1,2,1
65000,3,4,1
66000,1,3,1
67000,3,4,1
68000,1,3,1
69000,1,4,1
70000,1,4,0
71000,3,4,1
72000,1,3,1
73000,2,4,1
74000,1,3,1
75000,1,2,1
76000,1,2,1
77000,1,2,1
78000,1,4,1
79000,2,4,0
80000,1,3,1
81000,1,3,1
82000,1,4,1
83000,1,4,1
84000,2,4,0
85000,2,4,1
86000,2,4,1
87000,2,3,1
88000,1,3,1
89000,1,2,1
90000,1,2,1
91000,1,3,1
92000,1,2,1
93000,2,3,1
94000,3,4,1
95000,2,4,0
96000,2,4,1
97000,1,3,1
98000,2,3,1
99000,2,4,1
100000,1,2,1
101000,2,3,1
102000,1,3,1
103000,1,2,1
104000,2,4,1
105000,2,4,1
106000,3,4,1
107000,1,2,1
108000,1,3,1
109000,1,3,0
110000,1,4,1
111000,1,2,1
112000,1,3,1
113000,3,4,1
114000,2,4,1
115000,2,3,1
116000,2,4,1
117000,2,4,1
118000,2,4,1
119000,2,3,1
120000,2,3,1
121000,2,4,1
122000,1,4,1
123000,2,4,1
124000,1,4,1
125000,1,4,1
126000,1,3,1
127000,1,2,1
128000,2,3,0
129000,2,3,1
130000,1,4,1
131000,2,3,1
132000,2,4,1
133000,2,3,1
134000,1,2,1
135000,1,3,1
136000,1,3,1
137000,2,3,1
138000,2,3,1
139000,1,3,1
140000,2,4,1
141000,2,3,1
142000,1,3,1
143000,3,4,1
144000,1,3,0
145000,2,4,1
146000,1,3,1
147000,1,2,1
148000,3,4,0
149000,3,4,1
150000,2,4,1
151000,1,3,1
152000,1,4,1
153000,3,4,1
154000,3,4,1
155000,2,3,1
156000,2,4,1
157000,3,4,1
158000,2,3,1
159000,1,4,1
160000,1,3,1
161000,1,2,1
162000,1,4,1
163000,2,4,1
164000,1,4,1
165000,1,2,1
166000,3,4,1
167000,2,3,1
168000,1,2,1
169000,2,3,0
170000,2,3,1
171000,2,3,1
172000,3,4,1
173000,2,3,1
174000,1,4,1
175000,1,2,1
176000,2,3,1
177000,3,4,1
178000,2,3,1
179000,2,3,1
180000,1,3,1
181000,3,4,1
182000,2,4,1
183000,1,4,1
184000,3,4,1
185000,3,4,1
186000,1,2,0
187000,1,4,0
188000,1,3,1
189000,1,4,0
190000,1,2,1
191000,1,3,1
192000,1,3,1
193000,3,4,1
194000,2,3,1
195000,3,4,1
196000,1,4,1
197000,1,4,1
198000,2,4,1
199000,2,3,1
200000,2,4,1
201000,2,4,1
202000,3,4,1
203000,1,2,1
204000,1,2,1
205000,1,3,0
206000,3,4,1
207000,2,4,0
208000,1,2,1
209000,3,4,0
210000,1,4,1
211000,1,3,1
212000,1,4,1
213000,2,4,1
214000,1,2,1
215000,2,3,0
216000,1,2,1
217000,1,3,0
218000,1,3,0
219000,1,2,1
220000,1,4,1
221000,3,4,1
222000,2,3,1
223000,3,4,1
224000,1,4,1
225000,1,4,1
226000,1,4,1
227000,1,3,0
228000,1,2,1
229000,1,4,1
230000,1,4,1
231000,3,4,1
232000,2,4,1
233000,1,2,1
234000,1,4,1
235000,1,4,1
236000,1,3,1
237000,1,4,1
238000,2,3,1
239000,2,4,1
240000,1,4,0
241000,3,4,0
242000,2,3,1
243000,1,2,0
244000,1,3,1
245000,1,2,1
246000,2,3,1
247000,2,3,1
248000,2,4,1
249000,1,4,1
250000,1,3,1
251000,1,2,1
252000,2,3,1
253000,2,4,1
254000,2,4,0
255000,2,3,1
256000,1,2,1
257000,2,4,1
258000,3,4,1
259000,2,3,1
260000,2,3,1
261000,1,4,1
262000,1,2,0
263000,1,4,1
264000,1,2,1
265000,1,4,1
266000,1,4,0
267000,1,4,1
268000,3,4,1
269000,2,3,1
270000,2,4,1
271000,1,3,1
272000,1,3,1
273000,1,3,1
274000,3,4,1
275000,2,3,1
276000,2,3,1
277000,3,4,1
278000,3,4,1
279000,2,4,1
280000,3,4,0
281000,2,4,1
282000,2,4,1
283000,2,4,1
284000,1,4,1
285000,1,3,1
286000,3,4,1
287000,1,4,1
288000,1,2,1
289000,2,4,1
290000,1,4,1
291000,1,4,1
292000,3,4,1
293000,3,4,1
294000,2,4,1
295000,1,2,1
296000,3,4,1
297000,3,4,1
298000,3,4,1
299000,1,4,1
300000,3,4,1
301000,1,3,1
302000,2,3,1
303000,1,3,1
304000,3,4,1
305000,3,4,1
306000,2,4,1
307000,2,3,1
308000,2,3,1
309000,1,3,1
310000,1,4,1
311000,1,4,1
312000,1,4,1
313000,2,4,0
314000,2,4,1
315000,1,2,1
316000,3,4,1
317000,2,4,1
318000,1,3,1
319000,3,4,0
320000,1,3,1
321000,1,4,0
322000,1,2,1
323000,3,4,0
324000,1,3,0
325000,1,2,1
326000,2,4,0
327000,2,4,0
328000,2,4,0
329000,1,2,1
330000,1,3,1
331000,1,3,1
332000,2,4,0
333000,2,3,1
334000,1,2,1
335000,1,3,1
336000,1,3,1
337000,1,3,1
338000,1,3,1
339000,1,3,1
340000,1,4,0
341000,1,2,1
342000,2,3,1
343000,1,2,0
344000,1,4,0
345000,1,4,0
346000,2,4,0
347000,3,4,1
348000,1,3,0
349000,2,4,1
350000,1,2,0
351000,1,4,1
352000,3,4,1
353000,3,4,0
354000,1,3,1
355000,1,4,0
356000,1,4,0
357000,1,3,1
358000,3,4,1
359000,1,2,1
360000,2,3,0
361000,2,4,0
362000,1,3,0
363000,1,4,1
364000,1,4,1
365000,2,3,1
366000,1,2,0
367000,1,4,1
368000,2,4,1
369000,1,2,1
370000,3,4,0
371000,3,4,0
372000,1,2,1
373000,1,2,1
374000,2,4,0
375000,1,3,1
376000,1,4,0
377000,3,4,0
378000,3,4,0
379000,2,4,0
380000,3,4,1
381000,2,4,1
382000,2,4,1
383000,3,4,1
384000,3,4,1
385000,1,4,0
386000,1,3,0
387000,1,4,0
388000,3,4,1
389000,1,4,0
390000,2,3,1
391000,1,3,0
392000,3,4,0
393000,1,2,1
394000,2,3,1
395000,2,3,1
396000,2,4,0
397000,2,4,0
398000,2,3,1
399000,1,2,1
400000,3,4,0
401000,1,3,1
402000,2,3,1
403000,1,4,0
404000,1,3,1
405000,1,3,1
406000,1,3,1
407000,2,3,1
408000,2,4,0
409000,2,4,0
