generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,6.06102,-21491.2,1,0
1000,0,2.51351,-15771.7,0.794997,0.196
2000,0,1.62488,-15771.7,1.54707,0.137
3000,0,-1.65063,-15779.1,0.225873,0.164945
4000,0,1.95083,-15771.2,0.909027,0.151712
5000,0,3.48982,-15770.6,0.0423555,0.152
6000,0,3.13772,-15770,0.321727,0.15
7000,0,2.75985,-15769.9,0.695836,0.1432
8000,1,6.05823,-15761.5,2.63865,0.172853
9000,1,8.12178,-15764.9,0.371928,0.258667
10000,1,8.71479,-15760.7,0.405695,0.329
11000,1,5.82798,-15759.7,0.0324941,0.239
12000,1,6.5929,-15760.2,0.881204,0.3295
13000,1,5.45226,-15763.2,0.323716,0.344
14000,1,6.74125,-15761.7,0.267054,0.325
15000,2,12.2099,-15762.5,0.982075,0.319
16000,1,7.3167,-15762.1,1.80703,0.333
17000,1,6.51219,-15761.5,1.55636,0.364
18000,1,8.75773,-15764.7,0.536521,0.326333
19000,1,4.96335,-15761.8,0.851102,0.2985
20000,1,4.54663,-15762.9,1.46111,0.333545
21000,1,4.41738,-15763.7,0.74079,0.303
22000,1,4.9685,-15764.5,0.691354,0.269
23000,1,4.6974,-15758.7,2.43892,0.331417
24000,1,9.64037,-15768.4,0.131259,0.334167
25000,1,9.5312,-15762.2,0.762216,0.32
26000,1,6.1752,-15762.6,0.49231,0.276667
27000,1,9.00186,-15762.1,1.14382,0.313571
28000,1,9.84626,-15762,0.522252,0.356
29000,1,6.70022,-15762.6,1.64352,0.281286
30000,2,13.0547,-15754.1,1.38586,0.304
31000,2,12.9309,-15751.8,1.33685,0.238
32000,2,14.4664,-15751,1.05918,0.266
33000,2,11.9928,-15745.9,2.68055,0.306
34000,2,14.9606,-15746.4,0.195823,0.269
35000,2,13.8754,-15747,1.76136,0.292
36000,2,14.5665,-15754.3,1.04474,0.350636
37000,2,12.9489,-15756.2,2.07834,0.351
38000,2,10.8173,-15744.7,2.61982,0.246667
39000,2,9.869,-15747.3,2.28651,0.233
40000,3,18.3062,-15701.7,0.249542,0.266
41000,3,18.4574,-15698.5,0.852062,0.251
42000,3,19.4041,-15693.6,1.27928,0.249
43000,3,15.788,-15696.1,2.78844,0.274294
44000,3,16.8756,-15692.8,0.494844,0.267
