"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.209 0.209 2
"2" 2 0.208 0.417 3
"3" 3 0.099 0.516 2
"4" 4 0.076 0.592 3
"5" 5 0.044 0.636 4
"6" 6 0.032 0.668 4
"7" 7 0.029 0.697 3
"8" 8 0.028 0.725 3
"9" 9 0.019 0.744 3
"10" 10 0.017 0.761 3
"11" 11 0.015 0.776 4
"12" 12 0.013 0.789 2
"13" 13 0.011 0.8 4
"14" 14 0.01 0.81 4
"15" 15 0.009 0.819 3
"16" 16 0.008 0.827 3
"17" 17 0.008 0.835 2
"18" 18 0.008 0.843 2
"19" 19 0.008 0.851 1
"20" 20 0.008 0.859 1
"21" 21 0.007 0.866 3
"22" 22 0.007 0.873 4
"23" 23 0.007 0.88 2
"24" 24 0.005 0.885 3
"25" 25 0.005 0.89 4
"26" 26 0.004 0.894 3
"27" 27 0.004 0.898 3
"28" 28 0.004 0.902 3
"29" 29 0.004 0.906 4
"30" 30 0.004 0.91 4
"31" 31 0.004 0.914 3
"32" 32 0.003 0.917 4
"33" 33 0.003 0.92 3
"34" 34 0.003 0.923 3
"35" 35 0.003 0.926 3
"36" 36 0.002 0.928 3
"37" 37 0.002 0.93 3
"38" 38 0.002 0.932 4
"39" 39 0.002 0.934 5
"40" 40 0.002 0.936 4
"41" 41 0.002 0.938 3
"42" 42 0.002 0.94 3
"43" 43 0.002 0.942 2
"44" 44 0.002 0.944 4
"45" 45 0.002 0.946 4
"46" 46 0.001 0.947 4
"47" 47 0.001 0.948 4
"48" 48 0.001 0.949 2
"49" 49 0.001 0.95 6
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.209 0.209 2
"2" 2 0.208 0.417 3
"3" 3 0.099 0.516 2
"4" 4 0.076 0.592 3
"5" 5 0.044 0.636 4
"6" 6 0.032 0.668 4
"7" 7 0.029 0.697 3
"8" 8 0.028 0.725 3
"9" 9 0.019 0.744 3
"10" 10 0.017 0.761 3
"11" 11 0.015 0.776 4
"12" 12 0.013 0.789 2
"13" 13 0.011 0.8 4
"14" 14 0.01 0.81 4
"15" 15 0.009 0.819 3
"16" 16 0.008 0.827 3
"17" 17 0.008 0.835 2
"18" 18 0.008 0.843 2
"19" 19 0.008 0.851 1
"20" 20 0.008 0.859 1
"21" 21 0.007 0.866 3
"22" 22 0.007 0.873 4
"23" 23 0.007 0.88 2
"24" 24 0.005 0.885 3
"25" 25 0.005 0.89 4
"26" 26 0.004 0.894 3
"27" 27 0.004 0.898 3
"28" 28 0.004 0.902 3
"29" 29 0.004 0.906 4
"30" 30 0.004 0.91 4
"31" 31 0.004 0.914 3
"32" 32 0.003 0.917 4
"33" 33 0.003 0.92 3
"34" 34 0.003 0.923 3
"35" 35 0.003 0.926 3
"36" 36 0.002 0.928 3
"37" 37 0.002 0.93 3
"38" 38 0.002 0.932 4
"39" 39 0.002 0.934 5
"40" 40 0.002 0.936 4
"41" 41 0.002 0.938 3
"42" 42 0.002 0.94 3
"43" 43 0.002 0.942 2
"44" 44 0.002 0.944 4
"45" 45 0.002 0.946 4
"46" 46 0.001 0.947 4
"47" 47 0.001 0.948 4
"48" 48 0.001 0.949 2
"49" 49 0.001 0.95 6
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.209 0.209 2
"2" 2 0.208 0.417 3
"3" 3 0.099 0.516 2
"4" 4 0.076 0.592 3
"5" 5 0.044 0.636 4
"6" 6 0.032 0.668 4
"7" 7 0.029 0.697 3
"8" 8 0.028 0.725 3
"9" 9 0.019 0.744 3
"10" 10 0.017 0.761 3
"11" 11 0.015 0.776 4
"12" 12 0.013 0.789 2
"13" 13 0.011 0.8 4
"14" 14 0.01 0.81 4
"15" 15 0.009 0.819 3
"16" 16 0.008 0.827 3
"17" 17 0.008 0.835 2
"18" 18 0.008 0.843 2
"19" 19 0.008 0.851 1
"20" 20 0.008 0.859 1
"21" 21 0.007 0.866 3
"22" 22 0.007 0.873 4
"23" 23 0.007 0.88 2
"24" 24 0.005 0.885 3
"25" 25 0.005 0.89 4
"26" 26 0.004 0.894 3
"27" 27 0.004 0.898 3
"28" 28 0.004 0.902 3
"29" 29 0.004 0.906 4
"30" 30 0.004 0.91 4
"31" 31 0.004 0.914 3
"32" 32 0.003 0.917 4
"33" 33 0.003 0.92 3
"34" 34 0.003 0.923 3
"35" 35 0.003 0.926 3
"36" 36 0.002 0.928 3
"37" 37 0.002 0.93 3
"38" 38 0.002 0.932 4
"39" 39 0.002 0.934 5
"40" 40 0.002 0.936 4
"41" 41 0.002 0.938 3
"42" 42 0.002 0.94 3
"43" 43 0.002 0.942 2
"44" 44 0.002 0.944 4
"45" 45 0.002 0.946 4
"46" 46 0.001 0.947 4
"47" 47 0.001 0.948 4
"48" 48 0.001 0.949 2
"49" 49 0.001 0.95 6
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.209 0.209 2
"2" 2 0.208 0.417 3
"3" 3 0.099 0.516 2
"4" 4 0.076 0.592 3
"5" 5 0.044 0.636 4
"6" 6 0.032 0.668 4
"7" 7 0.029 0.697 3
"8" 8 0.028 0.725 3
"9" 9 0.019 0.744 3
"10" 10 0.017 0.761 3
"11" 11 0.015 0.776 4
"12" 12 0.013 0.789 2
"13" 13 0.011 0.8 4
"14" 14 0.01 0.81 4
"15" 15 0.009 0.819 3
"16" 16 0.008 0.827 3
"17" 17 0.008 0.835 2
"18" 18 0.008 0.843 2
"19" 19 0.008 0.851 1
"20" 20 0.008 0.859 1
"21" 21 0.007 0.866 3
"22" 22 0.007 0.873 4
"23" 23 0.007 0.88 2
"24" 24 0.005 0.885 3
"25" 25 0.005 0.89 4
"26" 26 0.004 0.894 3
"27" 27 0.004 0.898 3
"28" 28 0.004 0.902 3
"29" 29 0.004 0.906 4
"30" 30 0.004 0.91 4
"31" 31 0.004 0.914 3
"32" 32 0.003 0.917 4
"33" 33 0.003 0.92 3
"34" 34 0.003 0.923 3
"35" 35 0.003 0.926 3
"36" 36 0.002 0.928 3
"37" 37 0.002 0.93 3
"38" 38 0.002 0.932 4
"39" 39 0.002 0.934 5
"40" 40 0.002 0.936 4
"41" 41 0.002 0.938 3
"42" 42 0.002 0.94 3
"43" 43 0.002 0.942 2
"44" 44 0.002 0.944 4
"45" 45 0.002 0.946 4
"46" 46 0.001 0.947 4
"47" 47 0.001 0.948 4
"48" 48 0.001 0.949 2
"49" 49 0.001 0.95 6
