"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.712 0.712 2
"2" 2 0.062 0.774 3
"3" 3 0.036 0.81 2
"4" 4 0.028 0.838 3
"5" 5 0.027 0.865 2
"6" 6 0.018 0.883 3
"7" 7 0.011 0.894 2
"8" 8 0.01 0.904 1
"9" 9 0.009 0.913 3
"10" 10 0.009 0.922 2
"11" 11 0.007 0.929 3
"12" 12 0.006 0.935 3
"13" 13 0.006 0.941 3
"14" 14 0.005 0.946 4
"15" 15 0.005 0.951 3
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.712 0.712 2
"2" 2 0.062 0.774 3
"3" 3 0.036 0.81 2
"4" 4 0.028 0.838 3
"5" 5 0.027 0.865 2
"6" 6 0.018 0.883 3
"7" 7 0.011 0.894 2
"8" 8 0.01 0.904 1
"9" 9 0.009 0.913 3
"10" 10 0.009 0.922 2
"11" 11 0.007 0.929 3
"12" 12 0.006 0.935 3
"13" 13 0.006 0.941 3
"14" 14 0.005 0.946 4
"15" 15 0.005 0.951 3
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.712 0.712 2
"2" 2 0.062 0.774 3
"3" 3 0.036 0.81 2
"4" 4 0.028 0.838 3
"5" 5 0.027 0.865 2
"6" 6 0.018 0.883 3
"7" 7 0.011 0.894 2
"8" 8 0.01 0.904 1
"9" 9 0.009 0.913 3
"10" 10 0.009 0.922 2
"11" 11 0.007 0.929 3
"12" 12 0.006 0.935 3
"13" 13 0.006 0.941 3
"14" 14 0.005 0.946 4
"15" 15 0.005 0.951 3
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.712 0.712 2
"2" 2 0.062 0.774 3
"3" 3 0.036 0.81 2
"4" 4 0.028 0.838 3
"5" 5 0.027 0.865 2
"6" 6 0.018 0.883 3
"7" 7 0.011 0.894 2
"8" 8 0.01 0.904 1
"9" 9 0.009 0.913 3
"10" 10 0.009 0.922 2
"11" 11 0.007 0.929 3
"12" 12 0.006 0.935 3
"13" 13 0.006 0.941 3
"14" 14 0.005 0.946 4
"15" 15 0.005 0.951 3
