"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.411 0.411 2
"2" 2 0.068 0.479 3
"3" 3 0.053 0.532 1
"4" 4 0.051 0.583 3
"5" 5 0.038 0.621 4
"6" 6 0.024 0.645 4
"7" 7 0.02 0.665 3
"8" 8 0.013 0.678 3
"9" 9 0.013 0.691 3
"10" 10 0.012 0.703 3
"11" 11 0.011 0.714 0
"12" 12 0.011 0.725 3
"13" 13 0.011 0.736 2
"14" 14 0.011 0.747 3
"15" 15 0.01 0.757 2
"16" 16 0.009 0.766 1
"17" 17 0.009 0.775 2
"18" 18 0.009 0.784 3
"19" 19 0.009 0.793 4
"20" 20 0.008 0.801 2
"21" 21 0.008 0.809 4
"22" 22 0.007 0.816 2
"23" 23 0.007 0.823 3
"24" 24 0.007 0.83 4
"25" 25 0.007 0.837 5
"26" 26 0.005 0.842 1
"27" 27 0.005 0.847 4
"28" 28 0.005 0.852 4
"29" 29 0.004 0.856 2
"30" 30 0.004 0.86 3
"31" 31 0.004 0.864 2
"32" 32 0.003 0.867 1
"33" 33 0.003 0.87 3
"34" 34 0.003 0.873 2
"35" 35 0.003 0.876 2
"36" 36 0.003 0.879 4
"37" 37 0.003 0.882 3
"38" 38 0.003 0.885 4
"39" 39 0.003 0.888 4
"40" 40 0.003 0.891 2
"41" 41 0.003 0.894 5
"42" 42 0.003 0.897 3
"43" 43 0.002 0.899 3
"44" 44 0.002 0.901 2
"45" 45 0.002 0.903 3
"46" 46 0.002 0.905 2
"47" 47 0.002 0.907 2
"48" 48 0.002 0.909 4
"49" 49 0.002 0.911 4
"50" 50 0.002 0.913 5
"51" 51 0.002 0.915 3
"52" 52 0.002 0.917 3
"53" 53 0.002 0.919 2
"54" 54 0.002 0.921 2
"55" 55 0.002 0.923 3
"56" 56 0.002 0.925 4
"57" 57 0.002 0.927 4
"58" 58 0.002 0.929 4
"59" 59 0.001 0.93 3
"60" 60 0.001 0.931 6
"61" 61 0.001 0.932 2
"62" 62 0.001 0.933 2
"63" 63 0.001 0.934 2
"64" 64 0.001 0.935 2
"65" 65 0.001 0.936 2
"66" 66 0.001 0.937 2
"67" 67 0.001 0.938 1
"68" 68 0.001 0.939 2
"69" 69 0.001 0.94 3
"70" 70 0.001 0.941 5
"71" 71 0.001 0.942 2
"72" 72 0.001 0.943 2
"73" 73 0.001 0.944 5
"74" 74 0.001 0.945 2
"75" 75 0.001 0.946 5
"76" 76 0.001 0.947 4
"77" 77 0.001 0.948 4
"78" 78 0.001 0.949 3
"79" 79 0.001 0.95 6
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.411 0.411 2
"2" 2 0.068 0.479 3
"3" 3 0.053 0.532 1
"4" 4 0.051 0.583 3
"5" 5 0.038 0.621 4
"6" 6 0.024 0.645 4
"7" 7 0.02 0.665 3
"8" 8 0.013 0.678 3
"9" 9 0.013 0.691 3
"10" 10 0.012 0.703 3
"11" 11 0.011 0.714 0
"12" 12 0.011 0.725 3
"13" 13 0.011 0.736 2
"14" 14 0.011 0.747 3
"15" 15 0.01 0.757 2
"16" 16 0.009 0.766 1
"17" 17 0.009 0.775 2
"18" 18 0.009 0.784 3
"19" 19 0.009 0.793 4
"20" 20 0.008 0.801 2
"21" 21 0.008 0.809 4
"22" 22 0.007 0.816 2
"23" 23 0.007 0.823 3
"24" 24 0.007 0.83 4
"25" 25 0.007 0.837 5
"26" 26 0.005 0.842 1
"27" 27 0.005 0.847 4
"28" 28 0.005 0.852 4
"29" 29 0.004 0.856 2
"30" 30 0.004 0.86 3
"31" 31 0.004 0.864 2
"32" 32 0.003 0.867 1
"33" 33 0.003 0.87 3
"34" 34 0.003 0.873 2
"35" 35 0.003 0.876 2
"36" 36 0.003 0.879 4
"37" 37 0.003 0.882 3
"38" 38 0.003 0.885 4
"39" 39 0.003 0.888 4
"40" 40 0.003 0.891 2
"41" 41 0.003 0.894 5
"42" 42 0.003 0.897 3
"43" 43 0.002 0.899 3
"44" 44 0.002 0.901 2
"45" 45 0.002 0.903 3
"46" 46 0.002 0.905 2
"47" 47 0.002 0.907 2
"48" 48 0.002 0.909 4
"49" 49 0.002 0.911 4
"50" 50 0.002 0.913 5
"51" 51 0.002 0.915 3
"52" 52 0.002 0.917 3
"53" 53 0.002 0.919 2
"54" 54 0.002 0.921 2
"55" 55 0.002 0.923 3
"56" 56 0.002 0.925 4
"57" 57 0.002 0.927 4
"58" 58 0.002 0.929 4
"59" 59 0.001 0.93 3
"60" 60 0.001 0.931 6
"61" 61 0.001 0.932 2
"62" 62 0.001 0.933 2
"63" 63 0.001 0.934 2
"64" 64 0.001 0.935 2
"65" 65 0.001 0.936 2
"66" 66 0.001 0.937 2
"67" 67 0.001 0.938 1
"68" 68 0.001 0.939 2
"69" 69 0.001 0.94 3
"70" 70 0.001 0.941 5
"71" 71 0.001 0.942 2
"72" 72 0.001 0.943 2
"73" 73 0.001 0.944 5
"74" 74 0.001 0.945 2
"75" 75 0.001 0.946 5
"76" 76 0.001 0.947 4
"77" 77 0.001 0.948 4
"78" 78 0.001 0.949 3
