"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.448 0.448 1
"2" 2 0.115 0.563 2
"3" 3 0.099 0.662 1
"4" 4 0.076 0.738 1
"5" 5 0.025 0.763 2
"6" 6 0.021 0.784 2
"7" 7 0.02 0.804 2
"8" 8 0.019 0.823 3
"9" 9 0.015 0.838 2
"10" 10 0.014 0.852 1
"11" 11 0.011 0.863 2
"12" 12 0.011 0.874 1
"13" 13 0.01 0.884 0
"14" 14 0.01 0.894 4
"15" 15 0.009 0.903 2
"16" 16 0.008 0.911 2
"17" 17 0.006 0.917 3
"18" 18 0.006 0.923 2
"19" 19 0.006 0.929 3
"20" 20 0.004 0.933 2
"21" 21 0.004 0.937 2
"22" 22 0.004 0.941 2
"23" 23 0.004 0.945 2
"24" 24 0.003 0.948 2
"25" 25 0.003 0.951 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.448 0.448 1
"2" 2 0.115 0.563 2
"3" 3 0.099 0.662 1
"4" 4 0.076 0.738 1
"5" 5 0.025 0.763 2
"6" 6 0.021 0.784 2
"7" 7 0.02 0.804 2
"8" 8 0.019 0.823 3
"9" 9 0.015 0.838 2
"10" 10 0.014 0.852 1
"11" 11 0.011 0.863 2
"12" 12 0.011 0.874 1
"13" 13 0.01 0.884 0
"14" 14 0.01 0.894 4
"15" 15 0.009 0.903 2
"16" 16 0.008 0.911 2
"17" 17 0.006 0.917 3
"18" 18 0.006 0.923 2
"19" 19 0.006 0.929 3
"20" 20 0.004 0.933 2
"21" 21 0.004 0.937 2
"22" 22 0.004 0.941 2
"23" 23 0.004 0.945 2
"24" 24 0.003 0.948 2
"25" 25 0.003 0.951 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.448 0.448 1
"2" 2 0.115 0.563 2
"3" 3 0.099 0.662 1
"4" 4 0.076 0.738 1
"5" 5 0.025 0.763 2
"6" 6 0.021 0.784 2
"7" 7 0.02 0.804 2
"8" 8 0.019 0.823 3
"9" 9 0.015 0.838 2
"10" 10 0.014 0.852 1
"11" 11 0.011 0.863 2
"12" 12 0.011 0.874 1
"13" 13 0.01 0.884 0
"14" 14 0.01 0.894 4
"15" 15 0.009 0.903 2
"16" 16 0.008 0.911 2
"17" 17 0.006 0.917 3
"18" 18 0.006 0.923 2
"19" 19 0.006 0.929 3
"20" 20 0.004 0.933 2
"21" 21 0.004 0.937 2
"22" 22 0.004 0.941 2
"23" 23 0.004 0.945 2
"24" 24 0.003 0.948 2
"25" 25 0.003 0.951 2
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.448 0.448 1
"2" 2 0.115 0.563 2
"3" 3 0.099 0.662 1
"4" 4 0.076 0.738 1
"5" 5 0.025 0.763 2
"6" 6 0.021 0.784 2
"7" 7 0.02 0.804 2
"8" 8 0.019 0.823 3
"9" 9 0.015 0.838 2
"10" 10 0.014 0.852 1
"11" 11 0.011 0.863 2
"12" 12 0.011 0.874 1
"13" 13 0.01 0.884 0
"14" 14 0.01 0.894 4
"15" 15 0.009 0.903 2
"16" 16 0.008 0.911 2
"17" 17 0.006 0.917 3
"18" 18 0.006 0.923 2
"19" 19 0.006 0.929 3
"20" 20 0.004 0.933 2
"21" 21 0.004 0.937 2
"22" 22 0.004 0.941 2
"23" 23 0.004 0.945 2
"24" 24 0.003 0.948 2
"25" 25 0.003 0.951 2
