"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.414 0.414 1
"2" 2 0.338 0.752 1
"3" 3 0.05 0.802 2
"4" 4 0.048 0.85 0
"5" 5 0.016 0.866 2
"6" 6 0.014 0.88 2
"7" 7 0.014 0.894 2
"8" 8 0.012 0.906 2
"9" 9 0.009 0.915 2
"10" 10 0.008 0.923 2
"11" 11 0.007 0.93 2
"12" 12 0.007 0.937 2
"13" 13 0.006 0.943 3
"14" 14 0.006 0.949 3
"15" 15 0.004 0.953 1
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.414 0.414 1
"2" 2 0.338 0.752 1
"3" 3 0.05 0.802 2
"4" 4 0.048 0.85 0
"5" 5 0.016 0.866 2
"6" 6 0.014 0.88 2
"7" 7 0.014 0.894 2
"8" 8 0.012 0.906 2
"9" 9 0.009 0.915 2
"10" 10 0.008 0.923 2
"11" 11 0.007 0.93 2
"12" 12 0.007 0.937 2
"13" 13 0.006 0.943 3
"14" 14 0.006 0.949 3
"15" 15 0.004 0.953 1
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.414 0.414 1
"2" 2 0.338 0.752 1
"3" 3 0.05 0.802 2
"4" 4 0.048 0.85 0
"5" 5 0.016 0.866 2
"6" 6 0.014 0.88 2
"7" 7 0.014 0.894 2
"8" 8 0.012 0.906 2
"9" 9 0.009 0.915 2
"10" 10 0.008 0.923 2
"11" 11 0.007 0.93 2
"12" 12 0.007 0.937 2
"13" 13 0.006 0.943 3
"14" 14 0.006 0.949 3
"15" 15 0.004 0.953 1
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.414 0.414 1
"2" 2 0.338 0.752 1
"3" 3 0.05 0.802 2
"4" 4 0.048 0.85 0
"5" 5 0.016 0.866 2
"6" 6 0.014 0.88 2
"7" 7 0.014 0.894 2
"8" 8 0.012 0.906 2
"9" 9 0.009 0.915 2
"10" 10 0.008 0.923 2
"11" 11 0.007 0.93 2
"12" 12 0.007 0.937 2
"13" 13 0.006 0.943 3
"14" 14 0.006 0.949 3
"15" 15 0.004 0.953 1
