"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.28 0.28 1
"2" 2 0.119 0.399 2
"3" 3 0.104 0.503 1
"4" 4 0.076 0.579 2
"5" 5 0.058 0.637 2
"6" 6 0.046 0.683 2
"7" 7 0.036 0.719 1
"8" 8 0.03 0.749 2
"9" 9 0.02 0.769 2
"10" 10 0.02 0.789 2
"11" 11 0.018 0.807 3
"12" 12 0.018 0.825 2
"13" 13 0.016 0.841 2
"14" 14 0.014 0.855 2
"15" 15 0.011 0.866 3
"16" 16 0.011 0.877 2
"17" 17 0.008 0.885 2
"18" 18 0.008 0.893 0
"19" 19 0.007 0.9 2
"20" 20 0.006 0.906 3
"21" 21 0.006 0.912 2
"22" 22 0.005 0.917 1
"23" 23 0.005 0.922 1
"24" 24 0.005 0.927 3
"25" 25 0.004 0.931 3
"26" 26 0.004 0.935 2
"27" 27 0.004 0.939 3
"28" 28 0.004 0.943 1
"29" 29 0.004 0.947 2
"30" 30 0.003 0.95 3
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.28 0.28 1
"2" 2 0.119 0.399 2
"3" 3 0.104 0.503 1
"4" 4 0.076 0.579 2
"5" 5 0.058 0.637 2
"6" 6 0.046 0.683 2
"7" 7 0.036 0.719 1
"8" 8 0.03 0.749 2
"9" 9 0.02 0.769 2
"10" 10 0.02 0.789 2
"11" 11 0.018 0.807 3
"12" 12 0.018 0.825 2
"13" 13 0.016 0.841 2
"14" 14 0.014 0.855 2
"15" 15 0.011 0.866 3
"16" 16 0.011 0.877 2
"17" 17 0.008 0.885 2
"18" 18 0.008 0.893 0
"19" 19 0.007 0.9 2
"20" 20 0.006 0.906 3
"21" 21 0.006 0.912 2
"22" 22 0.005 0.917 1
"23" 23 0.005 0.922 1
"24" 24 0.005 0.927 3
"25" 25 0.004 0.931 3
"26" 26 0.004 0.935 2
"27" 27 0.004 0.939 3
"28" 28 0.004 0.943 1
"29" 29 0.004 0.947 2
"30" 30 0.003 0.95 3
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.28 0.28 1
"2" 2 0.119 0.399 2
"3" 3 0.104 0.503 1
"4" 4 0.076 0.579 2
"5" 5 0.058 0.637 2
"6" 6 0.046 0.683 2
"7" 7 0.036 0.719 1
"8" 8 0.03 0.749 2
"9" 9 0.02 0.769 2
"10" 10 0.02 0.789 2
"11" 11 0.018 0.807 3
"12" 12 0.018 0.825 2
"13" 13 0.016 0.841 2
"14" 14 0.014 0.855 2
"15" 15 0.011 0.866 3
"16" 16 0.011 0.877 2
"17" 17 0.008 0.885 2
"18" 18 0.008 0.893 0
"19" 19 0.007 0.9 2
"20" 20 0.006 0.906 3
"21" 21 0.006 0.912 2
"22" 22 0.005 0.917 1
"23" 23 0.005 0.922 1
"24" 24 0.005 0.927 3
"25" 25 0.004 0.931 3
"26" 26 0.004 0.935 2
"27" 27 0.004 0.939 3
"28" 28 0.004 0.943 1
"29" 29 0.004 0.947 2
"30" 30 0.003 0.95 3
"rank" "probability" "cumulative" "Core_shifts"
"1" 1 0.28 0.28 1
"2" 2 0.119 0.399 2
"3" 3 0.104 0.503 1
"4" 4 0.076 0.579 2
"5" 5 0.058 0.637 2
"6" 6 0.046 0.683 2
"7" 7 0.036 0.719 1
"8" 8 0.03 0.749 2
"9" 9 0.02 0.769 2
"10" 10 0.02 0.789 2
"11" 11 0.018 0.807 3
"12" 12 0.018 0.825 2
"13" 13 0.016 0.841 2
"14" 14 0.014 0.855 2
"15" 15 0.011 0.866 3
"16" 16 0.011 0.877 2
"17" 17 0.008 0.885 2
"18" 18 0.008 0.893 0
"19" 19 0.007 0.9 2
"20" 20 0.006 0.906 3
"21" 21 0.006 0.912 2
"22" 22 0.005 0.917 1
"23" 23 0.005 0.922 1
"24" 24 0.005 0.927 3
"25" 25 0.004 0.931 3
"26" 26 0.004 0.935 2
"27" 27 0.004 0.939 3
"28" 28 0.004 0.943 1
"29" 29 0.004 0.947 2
"30" 30 0.003 0.95 3
