"nodeShifted" "numTaxa" "from" "to" "numNontaxa" "Lam_mean" "Lam_low95" "Lam_up95" "Lam_nonmean" "Lam_nonlow95" "Lam_nonup95" "Mu_mean" "Mu_low95" "Mu_up95" "Mu_nonmean" "Mu_nonlow95" "Mu_nonup95" "mean_Div" "mean_nonDiv" "mean_rateChange"
"1" 2401 1505 "Lophiomys_imhausi_MURIDAE_RODENTIA" "Scapteromys_aquaticus_CRICETIDAE_RODENTIA" 887 0.201979845269499 0.189803391375008 0.216924029932759 0.183634868266919 0.159011195818616 0.237267776575373 0.0177639848125327 0.00543745838523137 0.035383918010803 0.0609780875847853 0.0263580531336099 0.127860481160733 0.184215860456967 0.122656780682134 1.5019
"2" 4482 298 "Trichys_fasciculata_HYSTRICIDAE_RODENTIA" "Abrocoma_famatina_ABROCOMIDAE_RODENTIA" 2094 0.229310254905495 0.180185775155047 0.306429503218766 0.189281763664175 0.177136800724925 0.209481618796149 0.0834786943434616 0.0153345057576908 0.174726609553759 0.0302014404192081 0.0142508166055489 0.0573692307413902 0.145831560562033 0.159080323244967 0.9167
"3" 4046 107 "Microdipodops_pallidus_HETEROMYIDAE_RODENTIA" "Chaetodipus_californicus_HETEROMYIDAE_RODENTIA" 2285 0.225084940202352 0.179700217331023 0.282487828741261 0.192816265518967 0.179642402082904 0.217368404028305 0.0365678001618835 0.00172465423031923 0.120124919898086 0.0365080823896253 0.0194873793520771 0.0665670251909318 0.188517140040468 0.156308183129341 1.2061
"4" 3995 51 "Euchoreutes_naso_DIPODIDAE_RODENTIA" "Sicista_tianshanica_DIPODIDAE_RODENTIA" 2341 0.22168620931575 0.115819724372014 0.334272002766784 0.193305063180363 0.180649110794466 0.217403982790783 0.136104941203316 0.0224067975327532 0.281054908954934 0.0339300902755194 0.0164219685754029 0.0632454835301847 0.0855812681124342 0.159374972904843 0.537
"5" 655 1 "Lophiomys_imhausi_MURIDAE_RODENTIA" "Lophiomys_imhausi_MURIDAE_RODENTIA" 2391 0.131599409283799 0.0306780023394445 0.19512336416239 0.194221330243768 0.181702229556767 0.21814232897816 0.046326160346784 0.0002984979 0.180070112647165 0.0364789331508436 0.0196569868889007 0.0666723595918883 0.0852732489370149 0.157742397092924 0.5406
"6" 4166 285 "Funambulus_tristriatus_SCIURIDAE_RODENTIA" "Biswamoyopterus_biswasi_SCIURIDAE_RODENTIA" 2107 0.241601583249367 0.197811519494015 0.33599614630361 0.18879869358254 0.175988485713078 0.207477609956166 0.0703673780885616 0.00579471421157802 0.213006925 0.0327936502188711 0.0171466596383298 0.0555488043519122 0.171234205160805 0.156005043363669 1.0976
"7" 3403 157 "Rhipidomys_macconnelli_CRICETIDAE_RODENTIA" "Scapteromys_aquaticus_CRICETIDAE_RODENTIA" 2235 0.262818708537798 0.173750034345343 0.353724527087864 0.190792846694899 0.177510636806626 0.215777340204581 0.0478084220580355 0.00074498593445385 0.153956834414073 0.0359800461745296 0.0187776516533118 0.0675344651176927 0.215010286479763 0.15481280052037 1.3888
"8" 4455 16 "Selevinia_betpakdalaensis_GLIRIDAE_RODENTIA" "Graphiurus_platyops_GLIRIDAE_RODENTIA" 2376 0.206745087137537 0.0744936098513432 0.365501223819392 0.193954929132511 0.181202817902782 0.217344504055519 0.0830717298701324 0.00367662091625798 0.25229785 0.0362656969713966 0.0196913952943997 0.0660159427124861 0.123673357267404 0.157689232161114 0.7843
"9" 2652 197 "Lorentzimys_nouhuysi_MURIDAE_RODENTIA" "Archboldomys_luzonensis_MURIDAE_RODENTIA" 2195 0.322757848848691 0.257909196432587 0.412014678808663 0.187417452930174 0.174391127303704 0.212682794509429 0.0715779097708373 0.00435978607701825 0.186390212491769 0.0347113023274746 0.0174656323095619 0.0646973354894586 0.251179939077854 0.152706150602699 1.6449
"10" 2857 104 "Srilankamys_ohiensis_MURIDAE_RODENTIA" "Rattus_mollicomulus_MURIDAE_RODENTIA" 2288 0.390020019587082 0.31171833268885 0.48055017642217 0.190022449783787 0.177213466666397 0.214157143792047 0.0394742776841479 0.00129511026521179 0.13342670389338 0.0364498339822335 0.0196599395750284 0.0674886959002607 0.350545741902934 0.153572615801553 2.2826
"11" 4603 65 "Ctenomys_tuconax_CTENOMYIDAE_RODENTIA" "Ctenomys_lewisi_CTENOMYIDAE_RODENTIA" 2327 0.57250142068341 0.435889676089777 0.723950238384831 0.190815395258611 0.178268520728882 0.215146861072596 0.0711300727233704 0.00413051841622862 0.242198414868338 0.0362170240933211 0.0192129711622461 0.0666648637910622 0.50137134796004 0.15459837116529 3.2431
