"harmMeans_Lam" "arithMeans_Lam" "harmMeans_Mu" "arithMeans_Mu" "harmMeans_NetDiv" "arithMeans_NetDiv"
"Zaglossus_bartoni_TACHYGLOSSIDAE_MONOTREMATA" 0.0363773208856162 0.0565882110301564 0.0286431133170345 0.067770040256 0.0202239031712461 -0.0111818292258436
"Zaglossus_attenboroughi_TACHYGLOSSIDAE_MONOTREMATA" 0.0363882860993899 0.0567122320013049 0.0286198997182453 0.067594951756 0.0202471448750247 -0.0108827197546951
"Zaglossus_bruijnii_TACHYGLOSSIDAE_MONOTREMATA" 0.0363773208856162 0.0565882110301564 0.0286431133170345 0.067770040256 0.0202239031712461 -0.0111818292258436
"Tachyglossus_aculeatus_TACHYGLOSSIDAE_MONOTREMATA" 0.0364010658748198 0.0566600277896539 0.0289274356912717 0.068080800586 0.0200371873584788 -0.0114207727963461
"Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA" 0.0354912837178615 0.0564537837598722 0.0284844749194664 0.067658969056 0.0179114210907045 -0.0112051852961278
"Solenodon_cubanus_SOLENODONTIDAE_EULIPOTYPHLA" 0.0742633327830287 0.0928110365690741 0.00107117723404296 0.03720029261776 0.0451707351159874 0.0556107439513141
"Solenodon_marcanoi_SOLENODONTIDAE_EULIPOTYPHLA" 0.0758392246431153 0.0931784750521356 0.00106973132562451 0.03706876544776 0.0473600394299571 0.0561097096043756
"Solenodon_paradoxus_SOLENODONTIDAE_EULIPOTYPHLA" 0.075768344869918 0.0928313004033933 0.00106965446628691 0.03693489425776 0.0473162260934725 0.0558964061456333
"Uropsilus_investigator_TALPIDAE_EULIPOTYPHLA" 0.081839645776552 0.0941710522865429 0.00106180072228342 0.03213778766876 0.0568945627025565 0.0620332646177829
"Uropsilus_soricipes_TALPIDAE_EULIPOTYPHLA" 0.0818158526969131 0.093888195884829 0.00106172805652815 0.03198201336876 0.055708753118533 0.061906182516069
"Uropsilus_gracilis_TALPIDAE_EULIPOTYPHLA" 0.0819400923085547 0.0942573620671425 0.00106431929384106 0.03222997993376 0.0557507715392489 0.0620273821333825
"Uropsilus_andersoni_TALPIDAE_EULIPOTYPHLA" 0.0818778587675279 0.0940046908183861 0.00106282384475847 0.03206269709876 0.0557248359618209 0.0619419937196261
"Uropsilus_aequodonenia_TALPIDAE_EULIPOTYPHLA" 0.0818158526969131 0.093888195884829 0.00106172805652815 0.03198201336876 0.055708753118533 0.061906182516069
"Neurotrichus_gibbsii_TALPIDAE_EULIPOTYPHLA" 0.0526458433654976 0.09375465896399 0.00106369744539427 0.03222103366476 0.0565526124308492 0.06153362529923
"Galemys_pyrenaicus_TALPIDAE_EULIPOTYPHLA" 0.0814781805953826 0.0944957503314759 0.0010623040744643 0.03259529006876 0.0567369662644413 0.0619004602627159
"Desmana_moschata_TALPIDAE_EULIPOTYPHLA" 0.0820220273098484 0.0944889716796619 0.00106146534463987 0.03166134325876 0.0563658903376349 0.0628276284209019
"Urotrichus_talpoides_TALPIDAE_EULIPOTYPHLA" 0.0819957425737713 0.0949435597920305 0.00107500527044236 0.03227986116676 0.0564110169555569 0.0626636986252705
"Dymecodon_pilirostris_TALPIDAE_EULIPOTYPHLA" 0.0818749492887642 0.0947985904369883 0.00313629798437589 0.0321272133014 0.056375419824296 0.0626713771355882
"Scaptonyx_fusicaudus_TALPIDAE_EULIPOTYPHLA" 0.0822012688690258 0.0949901773063125 0.00106265986733514 0.03195206020876 0.0559181913621648 0.0630381170975525
"Euroscaptor_mizura_TALPIDAE_EULIPOTYPHLA" 0.193979586030355 0.217394084057796 0.00608176289482381 0.050950648744 0.130074174228797 0.166443435313796
"Scaptochirus_moschatus_TALPIDAE_EULIPOTYPHLA" 0.195822443966841 0.218107999663355 0.00608193880287122 0.050919979934 0.129797110849748 0.167188019729355
"Euroscaptor_micrura_TALPIDAE_EULIPOTYPHLA" 0.195822443966841 0.218107999663355 0.00608193880287122 0.050919979934 0.129797110849748 0.167188019729355
"Euroscaptor_longirostris_TALPIDAE_EULIPOTYPHLA" 0.195846713728211 0.218167517465014 0.0060663747737182 0.050905633294 0.129811259842893 0.167261884171014
"Euroscaptor_klossi_TALPIDAE_EULIPOTYPHLA" 0.195644779410865 0.21805271372127 0.00606616249283132 0.050874543494 0.129540045835373 0.16717817022727
"Euroscaptor_parvidens_TALPIDAE_EULIPOTYPHLA" 0.195621398180667 0.217955072002773 0.00608232461076506 0.051000535934 0.130521257582408 0.166954536068773
"Euroscaptor_subanura_TALPIDAE_EULIPOTYPHLA" 0.192138398184012 0.217908021061538 0.00610569713413765 0.051106566414 0.129913859998139 0.166801454647538
"Parascaptor_leucura_TALPIDAE_EULIPOTYPHLA" 0.195499561408703 0.218006263884854 0.00610500877928438 0.051035074414 0.129106343421393 0.166971189470854
"Euroscaptor_grandis_TALPIDAE_EULIPOTYPHLA" 0.19502681154165 0.217917395372578 0.00610323775621962 0.050994131014 0.137966221543784 0.166923264358578
"Mogera_kanoana_TALPIDAE_EULIPOTYPHLA" 0.1955989166636 0.217866889226858 0.00608127678906731 0.050981537434 0.130049545108677 0.166885351792858
"Mogera_uchidai_TALPIDAE_EULIPOTYPHLA" 0.195231844735793 0.217864686776627 0.0060839418511885 0.051157902934 0.130384371591207 0.166706783842627
"Mogera_etigo_TALPIDAE_EULIPOTYPHLA" 0.195699581694382 0.217959582228016 0.00608166842431741 0.051005335034 0.130108737910766 0.166954247194016
"Mogera_insularis_TALPIDAE_EULIPOTYPHLA" 0.195906061043954 0.218232897708494 0.00608056384603827 0.050801099634 0.129890843766947 0.167431798074494
"Mogera_tokudae_TALPIDAE_EULIPOTYPHLA" 0.195884779271096 0.218191359389775 0.00608248796391372 0.050924391234 0.129823403721581 0.167266968155775
"Mogera_imaizumii_TALPIDAE_EULIPOTYPHLA" 0.195884779271096 0.218191359389775 0.00608248796391372 0.050924391234 0.129823403721581 0.167266968155775
"Mogera_robusta_TALPIDAE_EULIPOTYPHLA" 0.195910976191721 0.21839444170076 0.00608750148994412 0.051114091584 0.130260548743769 0.16728035011676
"Mogera_wogura_TALPIDAE_EULIPOTYPHLA" 0.195910976191721 0.21839444170076 0.00608750148994412 0.051114091584 0.130260548743769 0.16728035011676
"Nesophontes_zamicrus_NESOPHONTIDAE_EULIPOTYPHLA" 0.19509268047522 0.217659531209195 0.00607089812029806 0.050840959914 0.131637330901053 0.166818571295195
"Nesophontes_hypomicrus_NESOPHONTIDAE_EULIPOTYPHLA" 0.193782853168215 0.217472842370088 0.00608522436548609 0.051425474324 0.131808628039779 0.166047368046088
"Nesophontes_paramicrus_NESOPHONTIDAE_EULIPOTYPHLA" 0.19509268047522 0.217659531209195 0.00607089812029806 0.050840959914 0.131637330901053 0.166818571295195
"Nesophontes_micrus_NESOPHONTIDAE_EULIPOTYPHLA" 0.19509268047522 0.217659531209195 0.00607089812029806 0.050840959914 0.131637330901053 0.166818571295195
"Nesophontes_edithae_NESOPHONTIDAE_EULIPOTYPHLA" 0.192685703885885 0.217553502874241 0.00607511579284029 0.050911914234 0.132112814374577 0.166641588640241
"Nesophontes_major_NESOPHONTIDAE_EULIPOTYPHLA" 0.195142532101684 0.217761096434763 0.00607121344713998 0.050858436814 0.131664106913651 0.166902659620763
"Talpa_caucasica_TALPIDAE_EULIPOTYPHLA" 0.193936656245507 0.217257259048791 0.00611904240699229 0.050879183693 0.130040720976646 0.166378075355791
"Talpa_caeca_TALPIDAE_EULIPOTYPHLA" 0.194916894990717 0.217531766006275 0.00611934208870696 0.050641041823 0.12901891588462 0.166890724183275
"Talpa_romana_TALPIDAE_EULIPOTYPHLA" 0.194823592979794 0.217446941927692 0.00611821966691754 0.050701846193 0.130999855327763 0.166745095734692
"Talpa_europaea_TALPIDAE_EULIPOTYPHLA" 0.194421649325753 0.217455852923427 0.00613456487743749 0.051532499303 0.129449004593431 0.165923353620427
