"harmMeans_Lam" "arithMeans_Lam" "harmMeans_Mu" "arithMeans_Mu" "harmMeans_NetDiv" "arithMeans_NetDiv"
"Zaglossus_bruijnii_TACHYGLOSSIDAE_MONOTREMATA" 0.0243244521795072 0.0397911604339895 0.00319967546288314 0.0428946676957 0.020653173088413 -0.00310350726171051
"Zaglossus_attenboroughi_TACHYGLOSSIDAE_MONOTREMATA" 0.0242931944657285 0.0399010803788615 0.00320494746344899 0.0429090102957 0.0207175999045653 -0.00300792991683849
"Zaglossus_bartoni_TACHYGLOSSIDAE_MONOTREMATA" 0.0241863378263576 0.0396178789990943 0.00319647714196737 0.0432730843557 0.020300691146356 -0.00365520535660572
"Tachyglossus_aculeatus_TACHYGLOSSIDAE_MONOTREMATA" 0.0243230720525416 0.0398774943811961 0.00320313782787693 0.0431586404457 0.019664918948724 -0.00328114606450387
"Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA" 0.0239211044228571 0.0395582555766454 0.00319820939698335 0.0430443555357 0.0198703321503696 -0.00348609995905465
"Dasypus_yepesi_DASYPODIDAE_CINGULATA" 0.0682164847386361 0.0722984081406044 0.002877856887403 0.020628936439 0.045048681503146 0.0516694717016044
"Dasypus_kappleri_DASYPODIDAE_CINGULATA" 0.0688780292978884 0.0724459689807038 0.00276145436546833 0.0204399210494 0.0462741035345033 0.0520060479313038
"Dasypus_hybridus_DASYPODIDAE_CINGULATA" 0.0690004216403586 0.072391280159831 0.00276080460669512 0.0203253145594 0.0460938805328809 0.052065965600431
"Dasypus_septemcinctus_DASYPODIDAE_CINGULATA" 0.0693238399710746 0.0733653639731108 0.00279864239435315 0.0207949441044 0.0469775911718551 0.0525704198687108
"Dasypus_pilosus_DASYPODIDAE_CINGULATA" 0.0693836766815026 0.0733335646697261 0.002766008104384 0.0207534730194 0.0460923753801586 0.0525800916503261
"Dasypus_novemcinctus_DASYPODIDAE_CINGULATA" 0.0693836766815026 0.0733335646697261 0.002766008104384 0.0207534730194 0.0460923753801586 0.0525800916503261
"Dasypus_sabanicola_DASYPODIDAE_CINGULATA" 0.0693836766815026 0.0733335646697261 0.002766008104384 0.0207534730194 0.0460923753801586 0.0525800916503261
"Zaedyus_pichiy_DASYPODIDAE_CINGULATA" 0.0691589666745587 0.0724413194143566 0.00276453485069726 0.0202203234624 0.0461411813924813 0.0522209959519566
