generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,6.06102,-21646.8,1,0
1000,0,0.953925,-16606.9,0.0144496,0.235
2000,0,3.36047,-16581.4,0.337843,0.227
3000,0,3.28899,-16581.2,0.350618,0.115
4000,0,4.11856,-16578.5,0.0474563,0.159
5000,0,3.20173,-16577.9,0.744598,0.149
6000,1,9.08994,-16564.8,0.800032,0.187
7000,1,8.76313,-16563.9,0.523621,0.358
8000,0,3.69293,-16577.9,0.204105,0.161855
9000,0,3.35774,-16579.2,0.902757,0.138
10000,2,13.7843,-16561.9,1.54321,0.384667
11000,1,9.26141,-16563.1,1.3224,0.406
12000,0,3.29766,-16577,1.02729,0.136667
13000,1,8.13694,-16564.7,2.81679,0.3695
14000,2,13.8642,-16534.1,2.57815,0.331
15000,2,15.6207,-16533.3,0.547304,0.313
16000,2,16.277,-16536.2,0.249462,0.349
17000,2,13.5236,-16534.7,2.76567,0.315
18000,2,14.9818,-16534.3,1.77124,0.32
19000,3,22.857,-16514.4,0.869684,0.32
20000,3,20.8041,-16515.3,2.60608,0.33
21000,0,3.2574,-16576.5,1.29429,0.147136
22000,0,3.79666,-16576.8,0.64991,0.1419
23000,4,25.6405,-16514.1,1.3269,0.306333
24000,4,22.3272,-16500.6,3.29802,0.307
25000,4,24.2338,-16508.7,2.71229,0.323
26000,6,35.0837,-16504.2,1.65166,0.325
27000,0,3.91851,-16577.7,0.169337,0.1538
28000,0,4.16747,-16578.6,0.0082102,0.135
29000,0,3.38501,-16579.1,0.480953,0.152
30000,0,3.31797,-16577.9,0.669065,0.141
31000,0,3.6094,-16579.4,0.32052,0.132
32000,0,4.40062,-16576.5,0.0927086,0.146339
33000,1,9.86619,-16563.4,0.198409,0.35
34000,1,10.6531,-16564.5,0.155879,0.352
35000,1,8.74751,-16563.8,1.90314,0.1925
36000,5,26.3329,-16500.2,5.93758,0.3117
37000,6,33.2405,-16498.3,3.62761,0.298
38000,1,9.61697,-16561.5,1.00203,0.3655
39000,1,10.1432,-16562,0.564418,0.3745
40000,1,7.26519,-16563.7,2.7191,0.3475
41000,6,36.5989,-16491.7,3.23482,0.3205
42000,6,29.4095,-16498.4,3.0334,0.331
43000,5,19.486,-16482.1,5.40787,0.305
44000,5,28.0569,-16481.8,2.99983,0.294
45000,4,26.3071,-16487.3,2.16166,0.299
46000,4,24.5686,-16488.4,3.71934,0.319
47000,4,26.6844,-16482,0.991635,0.255
48000,1,9.64341,-16565.3,0.494837,0.352706
49000,1,9.54068,-16562.3,0.973842,0.359
50000,1,10.2813,-16561.4,0.465002,0.3626
51000,1,9.49456,-16564,0.322332,0.3485
52000,1,8.55412,-16564,0.946299,0.37
53000,1,9.8171,-16562.3,0.622853,0.355667
54000,1,7.85069,-16563.1,1.61137,0.313
55000,1,9.99925,-16562,0.194017,0.314
56000,1,10.4768,-16562.8,0.445995,0.368
57000,1,7.38673,-16564.1,2.50813,0.315
58000,1,8.59047,-16563.1,0.762341,0.319
59000,1,8.59844,-16563.7,1.35924,0.372
60000,1,8.57883,-16563.8,1.89183,0.346
61000,1,9.10523,-16564,1.32853,0.327
62000,1,9.31514,-16564.3,1.86964,0.352
63000,6,39.4852,-16450.1,2.45996,0.29275
64000,7,42.4997,-16450.3,2.94567,0.335
65000,6,39.0541,-16450.8,1.81337,0.306
66000,6,36.9518,-16450.3,3.59746,0.342
67000,6,34.4697,-16456,3.52529,0.328
68000,7,43.4504,-16452,3.03791,0.319
69000,8,46.0439,-16454.5,6.18727,0.295
70000,2,12.2524,-16528.5,0.506926,0.336625
71000,2,10.3438,-16530.3,1.89027,0.262
72000,8,43.3198,-16452.7,3.57911,0.343333
73000,7,41.8214,-16452.8,2.58409,0.307
74000,6,37.8181,-16455.6,2.04374,0.309
75000,6,31.7877,-16447.7,8.23458,0.303
76000,7,43.084,-16448.2,2.72475,0.325
77000,6,32.758,-16451.5,3.59369,0.299
78000,6,33.7875,-16451.1,2.23983,0.281
79000,6,34.2265,-16454,2.67152,0.286
80000,7,35.2212,-16457.9,3.46916,0.304
81000,2,8.1644,-16512.3,2.45547,0.311767
82000,2,11.0924,-16511.9,0.670697,0.272
83000,2,13.6055,-16520.3,0.438159,0.2675
84000,2,10.4136,-16514.6,1.18883,0.310969
85000,2,11.6872,-16514.1,0.64436,0.287
86000,2,11.0234,-16511.9,1.33042,0.284
87000,2,11.7423,-16517.3,0.811216,0.285
88000,2,12.4278,-16514.2,0.716759,0.28825
89000,2,10.428,-16512.4,2.09224,0.3175
90000,6,35.5317,-16452.9,5.17773,0.2857
91000,2,9.91323,-16512.4,3.37812,0.2965
92000,2,12.0145,-16513,0.594706,0.264
93000,2,9.64961,-16512.6,2.23405,0.264
94000,2,13.8297,-16512.8,0.387299,0.2905
95000,2,8.5525,-16515.6,4.10381,0.279
96000,2,10.3745,-16513,2.14953,0.265
97000,2,11.7689,-16517.6,0.293494,0.292214
98000,2,12.4871,-16518,0.299539,0.321
99000,2,9.49836,-16521.9,1.23327,0.3
100000,2,10.931,-16518.9,0.390045,0.265
101000,3,17.9854,-16514.3,1.23258,0.3024
102000,2,12.0731,-16514.3,1.41081,0.308
103000,2,12.3013,-16517.8,1.58745,0.316
104000,2,11.5566,-16520.8,2.34436,0.323
105000,3,17.5607,-16513.3,1.20986,0.305
106000,2,12.4506,-16522.1,1.28126,0.296538
107000,2,11.2438,-16515,2.18892,0.342
108000,2,11.0146,-16514.2,1.69588,0.300375
109000,8,45.2572,-16399.6,4.36416,0.307
110000,9,44.8071,-16392.7,6.86173,0.291
111000,8,47.3118,-16393.3,3.46285,0.317
112000,8,48.1871,-16395.2,2.70565,0.283
113000,7,37.5273,-16391.8,3.34435,0.287
114000,2,11.796,-16515.9,1.40769,0.292
115000,2,11.3726,-16517.8,1.33447,0.29375
116000,2,10.2963,-16513.6,0.902895,0.308
117000,2,9.73324,-16516.7,0.696934,0.291
118000,2,11.8015,-16524.5,1.52334,0.318
119000,3,16.8467,-16509,1.20403,0.343
120000,2,12.0859,-16517.4,0.841937,0.289667
121000,8,43.3013,-16394.7,3.90181,0.271875
122000,7,38.9332,-16390.4,3.5723,0.286
123000,7,40.1639,-16388.8,2.47746,0.286
124000,7,36.1793,-16387,6.40715,0.261
125000,8,44.5502,-16387.8,3.18182,0.271
126000,2,12.4424,-16514.8,0.687012,0.29719
127000,2,12.5155,-16511.5,0.863212,0.302
128000,7,37.6713,-16391.9,3.8783,0.299333
129000,7,38.1328,-16399.8,4.75187,0.269
130000,8,44.7668,-16395.7,4.53979,0.271
131000,8,41.1139,-16395.9,6.07513,0.269
132000,9,47.2444,-16385.8,7.51928,0.26
133000,9,46.4315,-16386.4,6.54487,0.284
134000,9,47.5359,-16385.8,5.3089,0.302
135000,9,50.29,-16392.8,2.64992,0.269
136000,10,50.6196,-16390.1,4.54523,0.284
137000,11,56.8808,-16390.9,4.43134,0.29
138000,13,59.611,-16389.5,7.83974,0.321
139000,13,64.0048,-16388.5,5.79307,0.325
140000,10,54.297,-16381.3,4.34142,0.291
141000,9,44.1883,-16392.5,9.24642,0.267
142000,9,49.9931,-16389.1,3.28595,0.299
143000,9,44.8248,-16390.8,6.38315,0.282
144000,11,57.1329,-16392.4,4.30561,0.287
145000,8,36.4021,-16390.4,7.90701,0.269
146000,8,39.8166,-16390.1,3.71063,0.234
147000,9,46.0263,-16391.1,5.81277,0.235
148000,8,44.9307,-16387.2,2.56667,0.264
149000,10,54.6228,-16381.5,4.57664,0.259
150000,9,52.4881,-16383.1,2.01103,0.286
