"harmMeans_Lam" "arithMeans_Lam" "harmMeans_Mu" "arithMeans_Mu" "harmMeans_NetDiv" "arithMeans_NetDiv"
"Ornithorhynchus_anatinus_ORNITHORHYNCHIDAE_MONOTREMATA" 0.0292997369814197 0.0448188868810278 0.0135849747436258 0.0556526905808 -0.00261735027008879 -0.0108338036997722
"Zaglossus_bartoni_TACHYGLOSSIDAE_MONOTREMATA" 0.0294337124255923 0.0450120400540248 0.0135935132032605 0.0553935568808 -0.00263470723970879 -0.0103815168267752
"Zaglossus_attenboroughi_TACHYGLOSSIDAE_MONOTREMATA" 0.0293836041237296 0.0449710640210338 0.0135896315731942 0.0554578289808 -0.00263609344579795 -0.0104867649597662
"Zaglossus_bruijnii_TACHYGLOSSIDAE_MONOTREMATA" 0.029452318203827 0.0450277001801701 0.0135863859444766 0.0552813874808 -0.00263525582928265 -0.0102536873006299
"Tachyglossus_aculeatus_TACHYGLOSSIDAE_MONOTREMATA" 0.0294150524357875 0.0450523640969431 0.0135813470634845 0.0553321107808 -0.00263674180131241 -0.0102797466838569
"Solenodon_paradoxus_SOLENODONTIDAE_EULIPOTYPHLA" 0.100696771428513 0.104721660601391 0.0016366956472567 0.04006609848159 0.0476908721384031 0.0646555621198012
"Solenodon_marcanoi_SOLENODONTIDAE_EULIPOTYPHLA" 0.100696771428513 0.104721660601391 0.0016366956472567 0.04006609848159 0.0476908721384031 0.0646555621198012
"Solenodon_cubanus_SOLENODONTIDAE_EULIPOTYPHLA" 0.100696771428513 0.104721660601391 0.0016366956472567 0.04006609848159 0.0476908721384031 0.0646555621198012
"Uropsilus_investigator_TALPIDAE_EULIPOTYPHLA" 0.100795889605123 0.103780659678788 0.00158358497002047 0.03425673963869 0.067826552181721 0.0695239200400982
"Uropsilus_soricipes_TALPIDAE_EULIPOTYPHLA" 0.10158504953779 0.103988886397008 0.00158371150750074 0.03415221412869 0.0678234948178121 0.0698366722683178
"Uropsilus_gracilis_TALPIDAE_EULIPOTYPHLA" 0.10166123702109 0.104211490081921 0.00158392941835863 0.03440740272869 0.06778877348212 0.0698040873532307
"Uropsilus_andersoni_TALPIDAE_EULIPOTYPHLA" 0.101455041739733 0.103936968608018 0.00157940554097796 0.03411853153869 0.0677912421396324 0.0698184370693285
"Uropsilus_aequodonenia_TALPIDAE_EULIPOTYPHLA" 0.101455041739733 0.103936968608018 0.00157940554097796 0.03411853153869 0.0677912421396324 0.0698184370693285
"Neurotrichus_gibbsii_TALPIDAE_EULIPOTYPHLA" 0.0913465783414227 0.103623277551561 0.00159153593345465 0.03398196715069 0.0680205192368754 0.0696413104008707
"Desmana_moschata_TALPIDAE_EULIPOTYPHLA" 0.0982380296119287 0.103658049990913 0.00158465856068 0.03424812637869 0.067375852688181 0.0694099236122234
"Galemys_pyrenaicus_TALPIDAE_EULIPOTYPHLA" 0.101360550983769 0.103855398383862 0.00158467245930587 0.03430065937869 0.0674108540004878 0.0695547390051715
"Scaptonyx_fusicaudus_TALPIDAE_EULIPOTYPHLA" 0.099616432484404 0.103807285758918 0.00163092229067686 0.03474504015569 0.0645201130968815 0.0690622456032284
"Urotrichus_talpoides_TALPIDAE_EULIPOTYPHLA" 0.101871457999633 0.104417995495242 0.00163105994184325 0.03430698528569 0.0670299794805887 0.0701110102095525
"Dymecodon_pilirostris_TALPIDAE_EULIPOTYPHLA" 0.101874033692851 0.104420146997861 0.00163119649519404 0.03463146698569 0.0671091824141486 0.0697886800121706
"Talpa_altaica_TALPIDAE_EULIPOTYPHLA" 0.120979226400351 0.138385406289985 0.0109725833414026 0.0441581289986 0.0726705040613291 0.0942272772913849
"Talpa_caucasica_TALPIDAE_EULIPOTYPHLA" 0.121422874223061 0.138366171637459 0.0109776246359811 0.0444790486986 0.0728025598689536 0.0938871229388587
"Talpa_levantis_TALPIDAE_EULIPOTYPHLA" 0.12151585987244 0.138473323851812 0.0109703293282813 0.0439969247986 0.0725633891967042 0.0944763990532123
"Talpa_stankovici_TALPIDAE_EULIPOTYPHLA" 0.12151585987244 0.138473323851812 0.0109703293282813 0.0439969247986 0.0725633891967042 0.0944763990532123
"Talpa_occidentalis_TALPIDAE_EULIPOTYPHLA" 0.12151585987244 0.138473323851812 0.0109703293282813 0.0439969247986 0.0725633891967042 0.0944763990532123
"Talpa_europaea_TALPIDAE_EULIPOTYPHLA" 0.12151585987244 0.138473323851812 0.0109703293282813 0.0439969247986 0.0725633891967042 0.0944763990532123
"Talpa_romana_TALPIDAE_EULIPOTYPHLA" 0.120659626860333 0.138164568356116 0.0109773351341493 0.0443860378986 0.0727328350374532 0.0937785304575157
"Talpa_caeca_TALPIDAE_EULIPOTYPHLA" 0.12151585987244 0.138473323851812 0.0109703293282813 0.0439969247986 0.0725633891967042 0.0944763990532123
"Talpa_davidiana_TALPIDAE_EULIPOTYPHLA" 0.12151585987244 0.138473323851812 0.0109703293282813 0.0439969247986 0.0725633891967042 0.0944763990532123
"Euroscaptor_mizura_TALPIDAE_EULIPOTYPHLA" 0.12160977859687 0.138337958102846 0.0115457635069722 0.0442173742286 0.0725023960878945 0.0941205838742462
"Euroscaptor_grandis_TALPIDAE_EULIPOTYPHLA" 0.12160977859687 0.138337958102846 0.0115457635069722 0.0442173742286 0.0725023960878945 0.0941205838742462
"Mogera_imaizumii_TALPIDAE_EULIPOTYPHLA" 0.121819430699733 0.13911692400609 0.0111928333203352 0.0450506048046 0.0728159844711873 0.0940663192014897
"Mogera_uchidai_TALPIDAE_EULIPOTYPHLA" 0.122072770205342 0.139312770035044 0.0111879122467865 0.0448644258046 0.0727591620954296 0.0944483442304438
"Mogera_tokudae_TALPIDAE_EULIPOTYPHLA" 0.122072770205342 0.139312770035044 0.0111879122467865 0.0448644258046 0.0727591620954296 0.0944483442304438
"Mogera_robusta_TALPIDAE_EULIPOTYPHLA" 0.121976757406501 0.139206652006164 0.0111710126630293 0.0445083117546 0.0726610000681424 0.0946983402515635
"Mogera_wogura_TALPIDAE_EULIPOTYPHLA" 0.121976757406501 0.139206652006164 0.0111710126630293 0.0445083117546 0.0726610000681424 0.0946983402515635
"Mogera_kanoana_TALPIDAE_EULIPOTYPHLA" 0.121976757406501 0.139206652006164 0.0111710126630293 0.0445083117546 0.0726610000681424 0.0946983402515635
"Mogera_etigo_TALPIDAE_EULIPOTYPHLA" 0.121976757406501 0.139206652006164 0.0111710126630293 0.0445083117546 0.0726610000681424 0.0946983402515635
"Mogera_insularis_TALPIDAE_EULIPOTYPHLA" 0.121976757406501 0.139206652006164 0.0111710126630293 0.0445083117546 0.0726610000681424 0.0946983402515635
"Euroscaptor_klossi_TALPIDAE_EULIPOTYPHLA" 0.121916811990151 0.138954924373748 0.011175891159664 0.0443434587446 0.0726249315176552 0.094611465629148
"Euroscaptor_longirostris_TALPIDAE_EULIPOTYPHLA" 0.121844313156939 0.138896599420369 0.011148054649746 0.0442689841846 0.0726417315242433 0.0946276152357687
"Euroscaptor_micrura_TALPIDAE_EULIPOTYPHLA" 0.121946126980741 0.139055464919019 0.0111426723169038 0.0442609052846 0.0726911501241795 0.0947945596344192
"Scaptochirus_moschatus_TALPIDAE_EULIPOTYPHLA" 0.121946126980741 0.139055464919019 0.0111426723169038 0.0442609052846 0.0726911501241795 0.0947945596344192
"Euroscaptor_subanura_TALPIDAE_EULIPOTYPHLA" 0.121946126980741 0.139055464919019 0.0111426723169038 0.0442609052846 0.0726911501241795 0.0947945596344192
"Euroscaptor_parvidens_TALPIDAE_EULIPOTYPHLA" 0.0990604737887668 0.138458678831556 0.0111448997279714 0.0441963585446 0.0728789822364405 0.0942623202869565
"Parascaptor_leucura_TALPIDAE_EULIPOTYPHLA" 0.121844313156939 0.138896599420369 0.011148054649746 0.0442689841846 0.0726417315242433 0.0946276152357687
"Condylura_cristata_TALPIDAE_EULIPOTYPHLA" 0.0752908025773729 0.103753760112803 0.00162887521655898 0.03442264775569 0.166395718361029 0.0693311123571125
"Scapanulus_oweni_TALPIDAE_EULIPOTYPHLA" 0.0920771269265474 0.10357598084294 0.00159178383313 0.03552199376169 0.0667700807709878 0.0680539870812497
"Scalopus_aquaticus_TALPIDAE_EULIPOTYPHLA" 0.0952053346818914 0.103563072041197 0.00158949416659004 0.03521093783869 0.0681309535259944 0.0683521342025074
"Scapanus_townsendii_TALPIDAE_EULIPOTYPHLA" 0.101575042278723 0.103891901809937 0.00158445215498327 0.03395424927869 0.067008010654949 0.0699376525312468
"Scapanus_orarius_TALPIDAE_EULIPOTYPHLA" 0.101575042278723 0.103891901809937 0.00158445215498327 0.03395424927869 0.067008010654949 0.0699376525312468
"Scapanus_latimanus_TALPIDAE_EULIPOTYPHLA" 0.101580003495495 0.10389716042807 0.00158449851305895 0.03399091157869 0.0669600459287501 0.0699062488493797
"Parascalops_breweri_TALPIDAE_EULIPOTYPHLA" 0.10126203608384 0.103862416446393 0.00158932950892587 0.03426257147169 0.0667682149409218 0.0695998449747031
