generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,6.06102,-21608,1,0
1000,0,1.91668,-16393.4,0.0144496,0.228
2000,1,9.13405,-16371.8,0.165689,0.287
3000,1,9.57157,-16370,1.09788,0.405
4000,1,10.9936,-16363.9,0.360959,0.397
5000,1,10.6,-16360,0.542292,0.391
6000,1,10.5282,-16362,0.102558,0.391
7000,1,9.03816,-16361.2,0.457791,0.399
8000,1,9.55361,-16362,0.961689,0.35833
9000,1,9.65326,-16361.7,1.0826,0.366
10000,1,9.30704,-16361.5,1.56193,0.395667
11000,1,10.2362,-16360.1,0.558131,0.386
12000,1,8.55462,-16362.2,1.95767,0.399333
13000,1,9.88545,-16361.6,0.727958,0.3925
14000,1,9.45186,-16362.7,0.568571,0.379
15000,1,10.0857,-16362.3,0.557088,0.374
16000,1,5.13719,-16363,4.05296,0.407
17000,1,8.7817,-16362.5,1.69164,0.376331
18000,1,8.67141,-16360.7,1.69858,0.379257
19000,1,8.9375,-16362.9,2.11668,0.386
20000,1,6.08512,-16365,1.94358,0.38925
21000,1,7.98556,-16363.6,2.31804,0.386
22000,1,8.83071,-16364.5,0.569598,0.3898
23000,1,7.77455,-16363.5,0.111785,0.367
24000,1,8.79777,-16362.2,0.869713,0.387
25000,1,8.47523,-16362.4,1.14556,0.3805
26000,1,8.40527,-16362.6,1.5135,0.371286
27000,1,10.0392,-16360.4,0.625404,0.416
28000,1,8.45037,-16362.5,1.56055,0.401
29000,1,9.79705,-16361.1,1.27609,0.385231
30000,1,5.71881,-16363.5,2.41347,0.3935
31000,1,7.00269,-16364.1,0.45134,0.358
32000,1,10.2568,-16361.4,0.6084,0.384429
33000,1,9.71622,-16360.6,1.66429,0.389
34000,1,9.81894,-16361.2,0.270108,0.41
35000,1,9.43152,-16359.9,1.88179,0.39
36000,1,10.8424,-16359.9,0.629422,0.39
37000,1,9.4747,-16361.8,1.25665,0.386231
38000,2,13.7939,-16363.1,0.916366,0.38
39000,1,9.13612,-16363.6,1.16954,0.395875
40000,1,8.85932,-16365.4,0.909238,0.4055
41000,1,4.86458,-16363.2,1.13325,0.388
42000,1,9.46137,-16361.9,1.04248,0.397
43000,1,9.23627,-16362.8,0.987893,0.426
44000,1,8.11437,-16360.6,0.688653,0.387
45000,1,9.97081,-16361.1,0.976492,0.390778
46000,1,7.69374,-16361.8,2.07819,0.372
47000,1,10.1175,-16364.2,0.38489,0.381
48000,1,10.1289,-16362.9,1.22513,0.3858
49000,1,10.0524,-16361.1,0.345188,0.362
50000,1,9.7876,-16361.7,1.12289,0.353
51000,1,8.32645,-16360.8,0.628774,0.381
52000,1,9.00281,-16360.5,1.99629,0.375
53000,1,8.97637,-16364.6,0.55441,0.348
54000,1,8.70102,-16363.4,0.669459,0.374692
55000,1,8.23126,-16364.5,0.962341,0.377
56000,1,8.22219,-16361.9,1.08414,0.393667
57000,1,9.59151,-16364.6,0.338503,0.344
58000,1,10.6354,-16363.3,0.647976,0.359
59000,1,9.02757,-16363.3,0.663538,0.3798
60000,1,10.4341,-16363.3,0.796859,0.4135
61000,1,9.86812,-16363.2,1.06682,0.391
62000,1,9.76717,-16361.6,0.248087,0.387
63000,2,12.9619,-16359.5,1.56033,0.365
64000,2,10.8598,-16361,3.5289,0.378
65000,1,6.51763,-16362.1,3.71778,0.37519
66000,1,9.05214,-16363,1.64846,0.375364
67000,1,7.58751,-16360.9,0.702453,0.3875
68000,1,9.69486,-16360.9,0.712899,0.405333
69000,1,6.98921,-16365.3,2.27009,0.368
70000,1,9.28215,-16370.1,0.940628,0.373667
71000,1,9.75709,-16362.8,0.938197,0.38
72000,1,9.96537,-16361.8,0.721034,0.378333
73000,1,8.76923,-16360.8,1.60134,0.389889
74000,2,12.6495,-16361.8,2.74401,0.393
75000,1,11.2661,-16361.7,0.195056,0.38575
76000,1,9.39901,-16363.1,1.38437,0.4
77000,1,7.85803,-16362.6,1.32271,0.337
78000,1,7.67659,-16363,0.989473,0.358
79000,1,6.92289,-16363.1,1.44783,0.387
80000,1,9.40352,-16360.6,1.16018,0.377125
81000,1,10.177,-16363.5,0.172073,0.392
82000,1,6.06072,-16362.4,1.59252,0.373667
83000,1,9.29746,-16361.9,0.280658,0.347
84000,1,8.63875,-16360.1,1.97021,0.361333
85000,1,10.2062,-16363.9,0.283162,0.393
86000,1,7.48049,-16361.8,0.781783,0.383333
87000,1,8.12605,-16361.9,2.09899,0.406
88000,1,8.91065,-16363.8,0.512829,0.382
89000,1,9.12227,-16362.8,1.06352,0.38
90000,1,8.41028,-16362.4,1.89553,0.363
91000,1,9.45715,-16362.4,0.237759,0.394
92000,1,8.71514,-16363.2,1.15503,0.378067
93000,1,8.83898,-16363.3,0.876766,0.371
94000,1,8.5292,-16363,0.260342,0.397
95000,1,9.31455,-16367.7,0.560629,0.405
96000,1,9.28176,-16369.4,1.00565,0.355
97000,1,8.15144,-16368.9,0.807902,0.381636
98000,1,8.65905,-16364.7,0.34676,0.375625
99000,1,7.05481,-16363,2.79005,0.3855
100000,1,7.81032,-16363.3,1.99083,0.37
101000,1,6.61073,-16360.9,2.93545,0.3824
102000,1,9.73119,-16363.3,0.7319,0.385
103000,1,8.74199,-16362.1,1.85473,0.406
104000,2,13.6747,-16363.2,0.87734,0.384083
105000,1,7.56081,-16366.2,0.153424,0.385857
106000,1,6.63722,-16370.4,0.942132,0.368
107000,1,9.07625,-16369.2,0.287803,0.358
108000,1,8.92278,-16364.9,0.191016,0.376
109000,1,9.63197,-16364,0.107551,0.416
110000,1,7.89282,-16363.6,2.28614,0.364167
111000,2,11.6972,-16362,2.76469,0.413
112000,1,7.63831,-16363.5,1.38331,0.380286
113000,1,8.28509,-16365.1,0.411029,0.37875
114000,1,7.60091,-16364.8,1.2993,0.346
115000,1,6.45086,-16365.4,1.18538,0.332
116000,1,9.00194,-16361.7,1.96736,0.3846
117000,1,10.2066,-16362.9,0.15379,0.376071
118000,1,9.81594,-16363.5,0.668104,0.401
119000,1,7.15264,-16365,1.37776,0.362
120000,1,9.61345,-16361.1,0.689437,0.386
121000,1,9.97104,-16362.5,0.285109,0.358
122000,1,9.52641,-16360.8,1.26054,0.387
123000,1,9.01818,-16362.8,1.45138,0.354
124000,1,10.5224,-16361.1,0.376317,0.393
125000,1,9.82502,-16360.3,1.24208,0.347
126000,1,10.1298,-16360.9,0.163027,0.367
127000,1,10.1847,-16361.2,0.611985,0.3876
128000,1,7.49931,-16361.5,1.38304,0.427
129000,1,9.41326,-16362.2,0.709501,0.38
130000,1,9.6957,-16361.5,0.6642,0.35
131000,1,7.71219,-16360.8,2.99175,0.373
132000,1,10.1109,-16362.2,0.512259,0.398
133000,1,9.30215,-16361,0.378698,0.385889
134000,1,7.56555,-16364,1.42569,0.371
135000,1,9.22963,-16363.1,0.738333,0.387556
136000,1,9.2611,-16361.1,1.53186,0.37
137000,1,7.905,-16364.6,0.412295,0.365
138000,1,4.10099,-16363.5,1.57679,0.354
139000,1,9.66972,-16363.3,0.512211,0.3706
140000,1,9.76584,-16361.5,0.243292,0.376875
141000,1,10.2436,-16360.5,0.490518,0.4
142000,1,8.15397,-16362.7,0.657704,0.388
143000,1,8.83904,-16361.1,0.400284,0.375143
144000,1,6.82826,-16363.9,3.71095,0.3858
145000,1,8.18525,-16360.9,2.4515,0.418
146000,1,8.33152,-16361.6,1.28005,0.381
147000,1,8.44678,-16361.4,1.63265,0.332
148000,1,7.7339,-16362.2,1.12151,0.359
149000,1,9.62531,-16361.9,0.15001,0.377143
150000,1,8.38934,-16361.1,1.04307,0.383333
151000,1,8.84065,-16360.8,1.17501,0.392
152000,1,7.65161,-16361.2,0.618122,0.37
153000,1,9.38322,-16362,0.52528,0.355
154000,1,9.04548,-16361.7,1.03562,0.3752
155000,1,8.59469,-16363.8,1.91599,0.3645
156000,1,10.1475,-16362.3,0.652481,0.399
157000,1,9.6054,-16362.7,0.130367,0.417
158000,2,14.9663,-16364.7,1.46348,0.397
159000,1,8.37614,-16365.4,0.624636,0.3714
160000,1,7.65778,-16349.3,2.11181,0.367294
161000,1,8.30618,-16349.5,1.35512,0.305
162000,2,15.3802,-16346.2,1.1598,0.382
163000,3,21.7768,-16345,0.679956,0.351
164000,1,10.1035,-16360.9,0.722008,0.387667
165000,1,10.3331,-16360.8,0.712661,0.355
166000,2,13.8772,-16363.9,2.52452,0.405
167000,1,8.25736,-16362.8,1.53808,0.385579
168000,1,9.69515,-16363.1,0.632005,0.357
169000,1,10.4277,-16361.6,0.295147,0.398
170000,2,13.6201,-16357.1,0.675314,0.34575
171000,2,14.607,-16354.2,0.763401,0.397
172000,1,11.0434,-16361.2,0.334464,0.385
173000,2,15.6533,-16334.8,1.15703,0.3189
174000,2,15.5503,-16331.6,0.956702,0.353
175000,2,13.2192,-16330.7,2.59323,0.348
176000,2,15.0712,-16334.7,1.10699,0.368
177000,1,9.08013,-16361,1.79473,0.394833
178000,1,9.77153,-16362.1,1.01728,0.384
179000,1,10.6746,-16360.6,0.466765,0.415
180000,1,10.3793,-16360.6,0.403111,0.368
181000,1,10.1585,-16360.9,0.602299,0.378
182000,1,9.41621,-16364.5,1.65372,0.39
183000,1,8.93201,-16362.1,1.66025,0.364
184000,1,8.71183,-16360.6,0.970967,0.405
185000,1,9.19061,-16363.6,1.27523,0.399
186000,1,9.2514,-16360.7,1.62761,0.381357
187000,1,10.4592,-16362,0.269304,0.3784
188000,1,9.93244,-16363.3,0.335177,0.385
189000,1,10.9308,-16360.9,0.104365,0.37
190000,1,9.57826,-16360.2,1.31533,0.36775
191000,1,9.88315,-16362,0.140051,0.365
192000,1,8.43213,-16359.8,0.312171,0.385
193000,2,13.5039,-16361.4,3.48762,0.382333
194000,1,10.0162,-16360.7,0.775915,0.423
195000,1,10.692,-16361.4,0.194341,0.3709
196000,1,10.1758,-16360.4,0.544679,0.416
197000,1,4.7563,-16363.1,0.651305,0.3958
198000,1,8.96627,-16363.9,1.57431,0.374
199000,1,8.6694,-16365.9,1.60731,0.3825
200000,1,9.33787,-16360.3,0.692593,0.376
201000,2,14.738,-16334.2,1.37417,0.33876
202000,1,9.40142,-16361.5,0.882349,0.377375
203000,1,8.84329,-16361,2.14491,0.378667
204000,1,8.67074,-16360.5,1.61666,0.402
205000,1,8.51141,-16362,0.555103,0.369333
206000,2,13.5133,-16362.8,1.87182,0.336
207000,1,9.98087,-16360.7,0.657913,0.379
208000,1,7.08326,-16361.8,2.44045,0.385
209000,1,5.18702,-16362.2,0.711036,0.383
210000,3,19.0913,-16325.8,2.15536,0.314
211000,4,22.6364,-16323.2,5.03263,0.352
212000,4,20.4251,-16327.7,1.47864,0.394
213000,3,18.9811,-16323.5,2.3337,0.359
214000,3,18.9842,-16326.4,4.00991,0.306
215000,3,20.314,-16314.5,2.03735,0.325
216000,3,18.0104,-16318.1,4.81244,0.341
217000,3,19.718,-16316.4,3.22918,0.355
218000,3,21.1996,-16316.1,1.04079,0.337
219000,3,20.6295,-16314.8,1.33043,0.343
220000,3,19.9595,-16313.3,2.2789,0.31
221000,4,26.3581,-16316.2,2.50341,0.334
222000,1,6.52893,-16366.1,1.7567,0.384308
223000,1,10.2321,-16361.7,0.60236,0.384
224000,1,9.49122,-16360.8,1.24802,0.426
225000,1,10.6595,-16360,0.895395,0.38
226000,3,20.2074,-16314.7,1.85778,0.3168
227000,3,17.6098,-16308.6,5.2331,0.348
228000,3,20.019,-16311.5,2.63609,0.324
229000,1,10.5677,-16365.9,0.726647,0.365
230000,1,10.5613,-16361.8,0.848859,0.37
231000,1,10.1716,-16367.1,0.823261,0.384
232000,1,9.42488,-16361,0.754492,0.376
233000,1,8.31176,-16361.4,2.22224,0.379
234000,4,23.8379,-16311.7,2.835,0.3425
235000,3,18.6138,-16310.9,0.703801,0.341
236000,3,20.2572,-16312.4,1.0688,0.333
237000,3,18.4804,-16309.9,1.59628,0.352
238000,3,16.0833,-16312.2,1.90434,0.382
239000,1,6.66283,-16347.5,2.56364,0.3066
240000,1,8.29673,-16351.8,0.905376,0.293
241000,1,11.0861,-16359.8,0.333501,0.3825
242000,1,9.93081,-16361.8,1.08018,0.395
243000,1,10.113,-16362.2,0.68935,0.403
244000,1,10.6353,-16360.9,0.239101,0.381
245000,1,10.0049,-16360.2,1.29535,0.362
246000,1,10.1754,-16361.1,0.496026,0.397
247000,3,22.0409,-16313.7,0.968592,0.343222
248000,1,8.96273,-16364.3,1.19643,0.3816
249000,1,8.32284,-16363.5,1.65627,0.357
250000,1,10.4076,-16362.9,0.191603,0.413
